"AnimalID","AnimalCode","OtherID","Sex","DOB","FirstDate","DOB_estimate","Age_yr","Age_class","Group_mb","StartDate_mb","EndDate_mb","Tenure_type","Mother","Father","ReliableData","Fate_probable","Comments"
"Alcatraz","Alc",NA,"M",NA,"2016-01-14","2014-11-01",NA,"adult","CR","2016-01-14","2018-07-20","BirthGroup","Antarctica",NA,NA,"migrated","Born 2014, seen on last day CR followed 2018/07/20. Mistakenly identified in BD from immigration date in 2019 until Nov 2020 - it was actually Umbrella - changed in database on 10/11/2020"
"Alcatraz","Alc",NA,"M",NA,"2016-01-14","2014-11-01",NA,"adult","Jacaranda","2018-07-20","2018-07-20","GroupSplit","Antarctica",NA,NA,"migrated","Born 2014, seen on last day CR followed 2018/07/20. Mistakenly identified in BD from immigration date in 2019 until Nov 2020 - it was actually Umbrella - changed in database on 10/11/2020"
"Alsiende","Alsi",NA,"F","2012-10-23","2012-10-23","2012-10-23",10.48,"adult","BD","2012-10-23","2015-12-21","BirthGroup","Asis",NA,NA,"dead","Presumed dead"
"Amazon","Amaz",NA,"F",NA,"2012-03-13","2012-03-13",NA,"adult","KB","2012-03-13","2015-05-25","BirthGroup",NA,NA,NA,NA,NA
"Amgoun","Amg",NA,"M","2017-10-09","2017-10-09","2017-10-09",5.51,"adult","KB","2017-10-09","2019-02-27","BirthGroup","Amur",NA,NA,"dead","found his body the 27th of February"
"Amstel","Amst",NA,"F","2021-10-12","2021-10-12","2021-10-12",1.49,"juvenile","KB","2021-10-12","2023-04-05","BirthGroup","Aaragon",NA,NA,NA,"probably born on between the 7 to the 12 october 2021"
"Amur","Amur",NA,"F",NA,"2012-05-09","2011-11-01",NA,"adult","KB","2012-05-09","2018-12-08","BirthGroup","Amazon",NA,NA,"dead","Born Dec 2011; Probably dead, body not found."
"Amywinehouse","Amyw",NA,"F",NA,NA,NA,NA,NA,"RC","2011-09-29","2011-11-25","BirthGroup",NA,NA,NA,NA,NA
"Andrew","And",NA,"M",NA,"2013-02-09","2010-04-12",NA,"adult","LT","2013-02-09","2014-04-12","BirthGroup",NA,NA,NA,NA,NA
"Angara","Ang",NA,"M","2022-10-26","2022-10-26","2022-10-26",0.45,"baby","KB","2022-10-26","2023-04-05","BirthGroup","Aaragon",NA,"Yes",NA,NA
"Antarctica","Anta",NA,"F",NA,"2014-12-31","2014-12-31",NA,"adult","SplitCR","2017-02-12","2017-04-10","MigrationGroup1",NA,NA,NA,NA,NA
"Apa","Apa",NA,"M",NA,"2021-06-04","2017-06-04",NA,"adult","LT","2022-09-22","2023-01-10","MigrationGroup3",NA,NA,NA,NA,"Moved from LT to BD for a couple of weeks. Moved back to LT after approx. 2 month stay in BD. "
"Apa","Apa",NA,"M",NA,"2021-06-04","2017-06-04",NA,"adult","BD","2022-07-27","2022-09-14","MigrationGroup2",NA,NA,NA,NA,"Moved from LT to BD for a couple of weeks. Moved back to LT after approx. 2 month stay in BD. "
"Apa","Apa",NA,"M",NA,"2021-06-04","2017-06-04",NA,"adult","LT","2021-06-04","2022-07-26","MigrationGroup1",NA,NA,NA,NA,"Moved from LT to BD for a couple of weeks. Moved back to LT after approx. 2 month stay in BD. "
"Apollo","Apo",NA,"M",NA,"2022-11-17",NA,NA,NA,"IF","2022-11-17","2023-04-05","BirthGroup","Athena",NA,"Yes",NA,NA
"Appel","App",NA,"M","2020-11-04","2020-11-04","2020-11-04",2.43,"juvenile","BD","2020-11-04","Stillpresent","BirthGroup","Aapie",NA,NA,NA,NA
"Ardig","Ard",NA,"M","2018-11-15","2018-11-15","2018-11-15",4.4,"sub-adult","BD","2018-11-15","2020-10-01","BirthGroup","Asis",NA,NA,NA,NA
"Arno","Arn",NA,"M","2014-10-17","2014-10-17","2014-10-17",8.49,"adult","KB","2014-10-17","2019-05-13","BirthGroup","Amazon",NA,NA,NA,NA
"Arthur","Art",NA,"M",NA,"2011-11-03","2007-11-03",NA,"adult","BD","2012-07-25","2014-05-20","MigrationGroup3",NA,NA,NA,"migrated","Immigrated from LT to AK between 14/02/2012-20/04, seen in LT on 22/05/12 & 02/07/12, was only officially recorded in AK twice…"
"Arthur","Art",NA,"M",NA,"2011-11-03","2007-11-03",NA,"adult","AK","2012-04-19","2012-04-30","MigrationGroup2",NA,NA,NA,"migrated","Immigrated from LT to AK between 14/02/2012-20/04, seen in LT on 22/05/12 & 02/07/12, was only officially recorded in AK twice…"
"Arthur","Art",NA,"M",NA,"2011-11-03","2007-11-03",NA,"adult","LT","2011-11-03","2012-02-14","MigrationGroup1",NA,NA,NA,"migrated","Immigrated from LT to AK between 14/02/2012-20/04, seen in LT on 22/05/12 & 02/07/12, was only officially recorded in AK twice…"
"Asis","Asis",NA,"F",NA,"2011-02-19","2011-02-19",NA,"adult","BD","2011-02-19","2023-04-05","BirthGroup",NA,NA,NA,NA,NA
"Askies","Ask",NA,"M","2021-10-27","2021-10-27","2021-10-27",1.45,"juvenile","BD","2021-10-27","Stillpresent","BirthGroup","Asis",NA,"Yes",NA,NA
"Asseblief","Ass",NA,"M","2014-11-05","2014-11-05","2014-11-05",8.44,"adult","CR","2019-05-31","Stillpresent","MigrationGroup1","Asis",NA,NA,"migrated","Date of imigration is unknown since he joined crossing during the time they were not followed"
"Asseblief","Ass",NA,"M","2014-11-05","2014-11-05","2014-11-05",8.44,"adult","BD","2014-11-05","2019-05-30","BirthGroup","Asis",NA,NA,"migrated","Date of imigration is unknown since he joined crossing during the time they were not followed"
"Athena","Athe",NA,"F",NA,"2022-06-28",NA,NA,NA,"IF","2022-06-28","2023-04-05","BirthGroup",NA,NA,"Yes",NA,NA
"Atitlan","Ati","Malewithbrighteyerings","M",NA,"2015-04-28","2011-04-28",NA,"adult","AK","2016-03-03","2020-02-25","MigrationGroup2",NA,NA,NA,"migrated","Described initially as male with bright eyerings, moved between AK and KB in months before immigration date"
"Atitlan","Ati","Malewithbrighteyerings","M",NA,"2015-04-28","2011-04-28",NA,"adult","KB","2015-04-28","2016-01-25","MigrationGroup1",NA,NA,NA,"migrated","Described initially as male with bright eyerings, moved between AK and KB in months before immigration date"
"Atjar","Atj",NA,"M","2022-11-18","2022-11-18","2022-11-18",0.38,"baby","BD","2022-11-18","2023-04-05","BirthGroup","Aapie",NA,"Yes",NA,NA
"Auckland","Auc",NA,"M",NA,"2012-02-27","2008-02-27",NA,"adult","NH","2012-02-27","2014-09-25","MigrationGroup1",NA,NA,NA,NA,"2012/04/04 is first time officially recorded in NH in logbook (as ""soft n fluffy"")"
"Avon","Avo","Appy","M","2013-11-11","2013-11-11","2013-11-11",9.43,"adult","Ifamily","2018-06-12","2020-06-16","MigrationGroup2","Amazon","Nile",NA,NA,"Named Appy until 14/12/14 After leaving NH, Ifamily, seen once more in KB after dept date on 2018/05/01,  seen in bge with NH on 08.12.2018 and in Ifamil on 2/2/19; seen on 16/06/20"
"Avon","Avo","Appy","M","2013-11-11","2013-11-11","2013-11-11",9.43,"adult","NH","2018-05-14","2018-06-12","MigrationGroup1","Amazon","Nile",NA,NA,"Named Appy until 14/12/14 After leaving NH, Ifamily, seen once more in KB after dept date on 2018/05/01,  seen in bge with NH on 08.12.2018 and in Ifamil on 2/2/19; seen on 16/06/20"
"Avon","Avo","Appy","M","2013-11-11","2013-11-11","2013-11-11",9.43,"adult","KB","2013-11-11","2018-04-06","BirthGroup","Amazon","Nile",NA,NA,"Named Appy until 14/12/14 After leaving NH, Ifamily, seen once more in KB after dept date on 2018/05/01,  seen in bge with NH on 08.12.2018 and in Ifamil on 2/2/19; seen on 16/06/20"
"Awash","Awa",NA,"M","2020-11-03","2020-11-03","2020-11-03",2.43,"juvenile","KB","2020-11-03","Stillpresent","BirthGroup","Aare",NA,NA,NA,"Born in the night from the 2nd to the 3rd of November 2020"
"Babyaare2015","BAar15",NA,"M","2015-11-12",NA,"2015-11-12",7.42,"adult","KB","2015-11-12","2016-02-13","BirthGroup",NA,NA,NA,NA,NA
"Babyamur2015","BAmu15",NA,NA,"2015-10-25",NA,"2015-10-25",7.47,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyamur2016","BAmu16",NA,NA,"2016-11-03",NA,"2016-11-03",6.44,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbbali22","BBBali22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbcirc21","BBCirc21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbdaen22","BBDaen22",NA,NA,"2022-11-24",NA,"2022-11-24",0.37,"baby",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydewe2021","BBDew21",NA,NA,"2021-11-16",NA,"2021-11-16",1.39,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbdewe22","BBDewe22",NA,NA,"2022-11-18",NA,"2022-11-18",0.38,"baby",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbdian22","BBDian22",NA,NA,"2022-11-10",NA,"2022-11-10",0.41,"baby",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbdigb22","BBDigb22",NA,NA,"2022-11-04",NA,"2022-11-04",0.42,"baby",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydodgyknee2021","BBDod21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyzuni2021","BBFZuni21","Babyfleshy2021","M",NA,NA,NA,NA,NA,"CR","2021-11-11","2022-04-16","BirthGroup",NA,NA,NA,NA,NA
"Bbgala22","BBGala22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babygoose2021","BBGoo21","Babycrazeyeyes2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbgoos22","BBGoos22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbgran22","BBGran22",NA,NA,"2022-11-21",NA,"2022-11-21",0.38,"baby",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbhera22","BBHera22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbinhl21","BBInhl21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbinhl22","BBInhl22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babykodi2021","BBKodi21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbmack22","BBMack22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbmara22","BBMara22",NA,NA,"2022-11-05",NA,"2022-11-05",0.42,"baby",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbmedu22","BBMedu22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbndaw22","BBNdaw22",NA,NA,"2022-12-03",NA,"2022-12-03",0.34,"baby",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbniha22","BBNiha22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bboort22","BBOort22",NA,"M","2022-11-15",NA,"2022-11-15",0.39,"baby","NH","2022-11-15","2022-11-17","BirthGroup",NA,NA,NA,NA,NA
"Bbpret22","BBPret22",NA,NA,"2022-11-26",NA,"2022-11-26",0.36,"baby",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bbxian22","BBXian22",NA,"M","2022-10-21",NA,"2022-10-21",0.46,"baby","NH","2022-10-21","2022-10-21","BirthGroup",NA,NA,NA,NA,NA
"Babybelabela2019","BBel19",NA,NA,"2019-10-14",NA,"2019-10-14",3.49,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babybeminde2013","BBem13",NA,NA,"2013-10-22",NA,"2013-10-22",9.48,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babybog2012","BBog12",NA,"F","2012-10-18",NA,"2012-10-18",10.5,"adult","NH","2012-10-18","2012-12-10","BirthGroup",NA,NA,NA,NA,NA
"Babybushy2014","BBus14",NA,NA,"2014-11-03",NA,"2014-11-03",8.45,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babycam2011","BCam11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babycam2012","BCam12",NA,NA,"2012-09-29",NA,"2012-09-29",10.55,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydag2012","BDag12",NA,"M","2012-09-25",NA,"2012-09-25",10.56,"adult","BD","2012-09-25","2012-11-29","BirthGroup",NA,NA,NA,NA,NA
"Babydag2012","BDag12",NA,"M","2012-09-25",NA,"2012-09-25",10.56,"adult","InBetweeners","2012-11-29","2012-11-29","GroupSplit",NA,NA,NA,NA,NA
"Babydaisy2019","BDai19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydelilah2019","BDel19",NA,NA,"2019-11-04",NA,"2019-11-04",3.43,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydiana2015","BDia15",NA,"M","2015-11-17",NA,"2015-11-17",7.41,"adult","LT","2015-11-17","2016-01-19","BirthGroup",NA,NA,NA,NA,NA
"Babydiana2019","BDia19",NA,NA,"2019-10-29",NA,"2019-10-29",3.45,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydian2021","BDia21",NA,NA,"2021-09-29",NA,"2021-09-29",1.52,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydigby2017","BDig17",NA,NA,"2017-10-05",NA,"2017-10-05",5.52,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydigby2019","BDig19",NA,NA,"2019-10-22",NA,"2019-10-22",3.47,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babydigby2020","BDig20",NA,NA,"2020-11-17",NA,"2020-11-17",2.39,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyeina2018","BEin18",NA,"M","2018-11-13",NA,"2018-11-13",4.41,"sub-adult","BD","2018-11-13","2018-11-26","BirthGroup",NA,NA,NA,NA,NA
"Babyemm2012","BEmm12",NA,"M","2012-10-08",NA,"2012-10-08",10.52,"adult","LT","2012-10-08","2013-05-22","BirthGroup",NA,NA,NA,NA,NA
"Babytere2014","BF1014",NA,NA,"2014-10-22",NA,"2014-10-22",8.48,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babygaga2013","BGag13",NA,"F","2013-10-24",NA,"2013-10-24",9.48,"adult","AK","2013-10-24","2013-12-06","BirthGroup",NA,NA,NA,NA,NA
"Babygaga2015","BGag15",NA,NA,"2015-11-26",NA,"2015-11-26",7.38,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babygaya2018","BGay18",NA,"M","2018-12-24",NA,"2018-12-24",4.3,"sub-adult","NH","2018-12-24","2019-01-21","BirthGroup",NA,NA,NA,NA,NA
"Babygaya2019","BGay19",NA,"M","2019-10-14",NA,"2019-10-14",3.49,"juvenile","NH","2019-10-14","2019-10-26","BirthGroup",NA,NA,NA,NA,NA
"Babygeneva2018","BGen18",NA,NA,"2018-11-05",NA,"2018-11-05",4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babygese2017","BGes17",NA,NA,"2017-10-09",NA,"2017-10-09",5.51,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyghan2015","BGha15",NA,NA,"2015-11-06",NA,"2015-11-06",7.44,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyguat2020","BGua20",NA,NA,"2020-12-02",NA,"2020-12-02",2.35,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyguat2021","BGua21",NA,"M","2021-11-02",NA,"2021-11-02",1.43,"juvenile","NH","2021-11-02","2021-11-03","BirthGroup",NA,NA,NA,NA,NA
"Babygugu2015","BGug15",NA,NA,"2015-11-16",NA,"2015-11-16",7.41,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babygugu2017","BGug17",NA,"M","2017-10-31",NA,"2017-10-31",5.45,"adult","AK","2017-10-31","2018-01-11","BirthGroup",NA,NA,NA,NA,NA
"Babygugu2019","BGug19",NA,"M","2019-11-09",NA,"2019-11-09",3.42,"juvenile","AK","2019-11-09","2020-03-04","BirthGroup",NA,NA,NA,NA,NA
"Babyhak2011","BHak11",NA,"M","2011-11-22",NA,"2011-11-22",11.4,"adult","BD","2011-11-22","2011-12-05","BirthGroup",NA,NA,NA,NA,NA
"Babyham2013","BHam13",NA,"F","2013-10-03",NA,"2013-10-03",9.53,"adult","AK","2013-10-03","2013-11-10","BirthGroup",NA,NA,NA,NA,NA
"Babyheer2019","BHee19",NA,"M","2019-10-28",NA,"2019-10-28",3.45,"juvenile","BD","2019-10-28","2020-01-28","BirthGroup",NA,NA,NA,NA,NA
"Babyidwa2015","BIdw15",NA,NA,"2015-11-18",NA,"2015-11-18",7.4,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyisil2015","BIsi15",NA,NA,"2015-11-05",NA,"2015-11-05",7.44,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyjenn2014","BJen14",NA,NA,"2014-10-20",NA,"2014-10-20",8.49,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyjink2014","BJin14",NA,NA,"2014-11-03",NA,"2014-11-03",8.45,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babykai2012","BKai12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babykaya2017","BKay17",NA,"M","2017-11-04",NA,"2017-11-04",5.44,"adult","LTsplit","2018-02-21","2018-03-03","MigrationGroup1",NA,NA,NA,NA,NA
"Babykaya2017","BKay17",NA,"M","2017-11-04",NA,"2017-11-04",5.44,"adult","LT","2017-11-04","2018-02-21","BirthGroup",NA,NA,NA,NA,NA
"Babylittleblind2017","BLBl17",NA,NA,"2017-10-03",NA,"2017-10-03",5.52,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babylau2012","BLau12",NA,NA,"2012-10-29",NA,"2012-10-29",10.47,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babylima2018","BLim18",NA,"F","2018-11-29",NA,"2018-11-29",4.37,"adult","NH","2018-11-29","2019-03-18","BirthGroup",NA,NA,NA,NA,NA
"Babylima2019","BLim19",NA,"F","2019-10-22",NA,"2019-10-22",3.47,"juvenile","NH","2019-10-22","2019-10-26","BirthGroup",NA,NA,NA,NA,NA
"Babylionel2017","BLio17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babymackenzie2017","BMac17","Babyschnauzli2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babymamo2015","BMam15",NA,NA,"2015-11-11",NA,"2015-11-11",7.42,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babymara2019","BMar19",NA,"M","2019-10-21",NA,"2019-10-21",3.47,"juvenile","KB","2019-10-21","2019-10-24","BirthGroup",NA,NA,NA,NA,NA
"Babymielies2014","BMie14",NA,NA,"2014-10-27",NA,"2014-10-27",8.47,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babymielies2017","BMie17",NA,NA,"2017-12-27",NA,"2017-12-27",5.29,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babymielies2019","BMie19",NA,NA,"2019-10-31",NA,"2019-10-31",3.44,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babymoo2011","BMoo11",NA,NA,"2012-01-23",NA,"2012-01-23",11.23,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babynala2014","BNal14",NA,NA,"2014-10-18",NA,"2014-10-18",8.49,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyndaw2021","BNda21",NA,NA,"2021-11-18",NA,"2021-11-18",1.39,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyness2015","BNes15",NA,"F","2015-11-09",NA,"2015-11-09",7.43,"adult","KB","2015-11-09","2016-01-29","BirthGroup",NA,NA,NA,NA,NA
"Babynessie2019","BNes19",NA,"M","2019-10-24",NA,"2019-10-24",3.46,"juvenile","KB","2019-10-24","2019-10-24","BirthGroup",NA,NA,NA,NA,NA
"Babyniese2014","BNie14",NA,"M","2014-11-11",NA,"2014-11-11",8.43,"adult","BD","2014-11-11","2014-12-26","BirthGroup",NA,NA,NA,NA,NA
"Babynkos2015","BNko15",NA,NA,"2015-11-12",NA,"2015-11-12",7.42,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babynumbies2017","BNum17",NA,NA,"2017-09-25",NA,"2017-09-25",5.55,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babynumbies2019","BNum19",NA,NA,"2019-10-03",NA,"2019-10-03",3.52,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babynurks2018","BNur18",NA,"F","2018-11-14",NA,"2018-11-14",4.41,"adult","BD","2018-11-14","2019-02-04","BirthGroup",NA,NA,NA,NA,NA
"Babynyanga2018","BNya18",NA,NA,"2018-12-24",NA,"2018-12-24",4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babynyanga2020","BNya20",NA,NA,"2020-11-21",NA,"2020-11-21",2.38,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyoahu2015","BOah15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyoahu2017","BOah17",NA,NA,"2017-10-10",NA,"2017-10-10",5.5,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyoerw2021","BOer21",NA,"M","2021-12-06",NA,"2021-12-06",1.34,"juvenile","BD","2021-12-06","2021-12-12","BirthGroup",NA,NA,NA,NA,NA
"Babyouli2021","BOul21",NA,"M","2021-10-09",NA,"2021-10-09",1.5,"juvenile","BD","2021-10-09","2021-10-09","BirthGroup",NA,NA,NA,NA,NA
"Babypannekoekie2014","BPan14",NA,NA,"2014-11-03",NA,"2014-11-03",8.45,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babypannekoekie2017","BPan17",NA,"M","2017-10-12",NA,"2017-10-12",5.5,"adult","BD","2017-10-12","2017-12-21","BirthGroup",NA,NA,NA,NA,NA
"Babypannekoekie2019","BPan19",NA,NA,"2019-11-04",NA,"2019-11-04",3.43,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babypearl2015","BPear15",NA,NA,"2015-12-03",NA,"2015-12-03",7.36,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babypotjie2019","BPot19",NA,"F","2019-10-25",NA,"2019-10-25",3.46,"juvenile","BD","2019-10-25","2019-10-29","BirthGroup",NA,NA,NA,NA,NA
"Babypretoria2019","BPre19",NA,"F","2019-11-06",NA,"2019-11-06",3.43,"juvenile","NH","2019-11-06","2019-11-06","BirthGroup",NA,NA,NA,NA,NA
"Babypret2021","BPre21",NA,NA,"2021-10-05",NA,"2021-10-05",1.51,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babypuolka2019","BPuo19",NA,NA,"2019-10-22",NA,"2019-10-22",3.47,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyredelik2019","BRed19",NA,"M","2019-10-19",NA,"2019-10-19",3.48,"juvenile","BD","2019-10-19","2019-10-19","BirthGroup",NA,NA,NA,NA,NA
"Babyrenn2020","BRen20",NA,"M","2020-11-22",NA,"2020-11-22",2.38,"juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyreva2019","BRev19",NA,"M","2019-10-23",NA,"2019-10-23",3.46,"juvenile","NH","2019-10-23","2019-10-26","BirthGroup",NA,NA,NA,NA,NA
