"AnimalID","DOB"
"Pruin",2022-11-22
"Puerto",2011-12-27
"Puolka",2015-12-28
"Purper",2021-11-05
"Puymerl",2018-11-07
"Pyeongchang",2017-10-23
"Rabat",2016-11-23
"Rafaela",2021-11-02
"Rakker",2012-11-16
"Rambouillet",2018-11-09
"Ratel",2015-11-30
"Redelik",2014-11-10
"Reenval",2020-11-24
"Reenboog",2018-12-12
"Regina",2018-11-15
"Reno",2019-11-12
"Renee",2016-11-01
"Rennes",2013-11-15
"Renoster",2021-11-15
"Revdanda",2017-11-16
"Reva",2011-11-21
"Reykjavik",2015-11-23
"Rheban",2012-10-27
"Richard",2015-11-12
"Ridder",2018-11-14
"Rimini",2021-01-11
"Rimpel",2021-11-18
"Rioja",2017-11-03
"Rishikesh",2022-12-14
"Riversdale",2020-11-16
"Rivas",2021-11-08
"Rivier",2020-11-24
"Riyadh",2014-11-04
"Robin",2016-10-20
"Rocky",2017-10-09
"Rochdale",2018-11-01
"Roeslare",2020-11-19
"Rooikat",2011-12-05
"Rooibos",2022-12-17
"Rosyn",2022-12-07
"Rosemary",2011-12-01
"Roslin",2015-11-23
"Roxanne",2014-10-30
"Rupert",2014-10-18
"Rustig",2017-10-21
"Safari",2014-11-03
"Sampion",2021-11-22
"Sari",2017-09-30
"Shitface",2011-12-01
"Siele",2012-10-01
"Sigaret",2018-11-09
"Sirkus",2017-10-21
"Sitrus",2021-11-18
"Skemer",2018-11-01
"Slang",2021-11-09
"Spampounkoeki",2018-11-01
"Spanspek",2020-11-24
"Spek",2021-11-13
"Sylinder",2020-11-24
"Talinn",2011-12-04
"Teddibeer",2014-11-12
"Tere",2009-12-01
"Timber",2017-10-16
"Tirroan",2012-10-11
"Toulouse",2014-10-30
"Ububhibhi",2011-11-21
"Udine",2022-11-30
"Udupi",2021-01-19
"Uji",2013-10-31
"Ulaanbaatar",2015-11-16
"Ulsan",2018-11-01
"Ulundi",2011-12-01
"Umtata",2014-12-08
"Unwabo",2012-10-22
"Uraniumcity",2017-10-09
"Utica",2021-11-06
"Vakie",2011-11-17
"Valerie",2012-09-24
"Vance",2013-12-01
"Vulkaan",2012-11-14
"Wurm",2012-10-18
"Xaltepec",2017-11-18
"Xalapa",2013-11-20
"Xarès",2021-11-08
"Xativa",2022-12-07
"Xenia",2020-11-03
"Xeres",2011-11-29
"Xiashan",2016-11-14
"Xian",2012-11-05
"Xihau",2021-10-21
"Xinji",2017-10-20
"Xinpu",2018-10-28
"Xinyi",2014-11-14
"Xopo",2020-11-23
"Xoxocotla",2010-11-15
"Yakima",2022-11-17
"Yamp",2021-11-16
"Yamuna",2016-11-23
"Yangtze",2014-01-27
"Yara",2017-11-11
"Yazoo",2018-11-14
"Yellowstone",2018-12-04
"Yentna",2022-11-14
"Yodo",2021-10-03
"Yonne",2020-11-12
"Yoogali",2012-09-22
"Yub",2021-12-21
"Yuba",2022-11-19
"Yukon",2016-11-09
"Yzeron",2017-11-20
"Zanzibar",2013-11-25
"Zankara",2013-11-11
"Zhengzhou",2012-11-02
"Zhukovsky",2015-11-16
"Zinkwazi",2014-10-01
"Zion",2011-12-02
"Kangaroo",2014-10-28
"Greenland",2014-11-12
"Dunston",2018-11-24
