"AnimalID","LH_AnimalCode","Sex"
"Medjerda","Med","M"
"Medusa","Medu","F"
"Meerkat","Mee","M"
"Mercury","Mer","M"
"Mevrou","Mevr","F"
"Mfolozi","Mfo","M"
"Mhaori","Mhao","F"
"Michaeljackson","Mic","M"
"Middag","Midd","F"
"Mielies","Miel","F"
"Milano","Mil","M"
"Mimiek","Mimi","F"
"Miskien","Misk","F"
"Mississipi","Mis","M"
"Mnandi","Mna","M"
"Modjadji","Modj","F"
"Moesa","Moes","F"
"Mokcha","Mokc","F"
"Momo","Mom","M"
"Montreal","Mon","M"
"Mooi","Mooi","F"
"Moonie","Moon","F"
"Mousse","Mou","M"
"Moya","Moya","F"
"Mpukuvane","Mpu","M"
"Muis","Mui","M"
"Mungunya","Mun","M"
"Mvula","Mvu","M"
"Naaldekoker","Naal","F"
"Naartjie","Naa","M"
"Nahoon","Nah","M"
"Nakhu","Nak","M"
"Nala","Nala","F"
"Namnam","Namn","F"
"Nantucket","Nan","M"
"Napoli","Nap","M"
"Ncoko","Ncok","F"
"Ndanda","Nda","M"
"Ndawonya","Ndaw","F"
"Ndiki","Ndik","F"
"Ndiza","Ndi","M"
"Ndlovu","Ndl","M"
"Ndondo","Ndo","M"
"Ndonsa","Ndon","F"
"Ndumiso","Ndum","F"
"Nelson","Nel","M"
"Nessie","Ness","F"
"Neuchatel","Neu","M"
"Newton","New","M"
"Ngenakubo","Nge","M"
"Ngubu","Ngu","M"
"Niese","Nies","F"
"Nihau","Niha","F"
"Nihiru","Nihi","F"
"Nil","Nil","M"
"Nirtjies","Nirt","F"
"Nkomo","Nko","M"
"Nkosikasi","Nkos","F"
"Nkunzi","Nkun","F"
"Noah","Noa","M"
"Noktober","Nok","M"
"Nonnitgie","Non","M"
"Nooiens","Nooi","F"
"Nooit","Noo","M"
"Nora","Nora","F"
"Nuclides","Nucl","F"
"Nugget","Nug","M"
"Nukke","Nuk","M"
"Nul","Nul","M"
"Numbies","Numb","F"
"Nurks","Nurk","F"
"Nuuskierig","Nuu","M"
"Nyala","Nyal","F"
"Nyanga","Nyan","F"
"Nyoni","Nyo","M"
"Oahu","Oahu","F"
"Obelisk","Obe","M"
"Obsessie","Obse","F"
"Oerwoud","Oerw","F"
"Ogies","Ogi","M"
"Okavango","Oka","M"
"Okefenokee","Oke","M"
"Okuncane","Oku","M"
"Oliver","Oli","M"
"Olona","Olo","M"
"Omelet","Ome","M"
"Onbeskof","Onb","M"
"Oom","Oom","M"
"Oortjies","Oort","F"
"Oscar","Osc","M"
"Ouagadougou","Oua","M"
"Oulik","Ouli","F"
"Ouma","Ouma","F"
"Oupa","Oup","M"
"Padkos","Padk","F"
"Pale","Pal","M"
"Palmela","Palm","F"
"Pannekoekie","Pann","F"
"Papp","Papp","F"
"Paris","Pari","F"
"Patlansky","Pat","M"
"Pearl","Pear","F"
"Pianosa","Pia","M"
"Pieperig","Piep","F"
"Piesang","Pie","M"
"Pik","Pik","M"
"Pikito","Pik","M"
"Pink","Pink","F"
"Pitcairn","Pit","M"
"Pixsel","Pix","M"
"Pizza","Piz","M"
"Plainjane","Pla","M"
"Plesier","Ples","F"
"Poeding","Poe","M"
"Pofferthie","Poff","F"
"Pointy","Poi","M"
"Pomelo","Pom","M"
"Poppie","Popp","F"
"Potjie","Potj","F"
"Praia","Prai","F"
"Pratella","Prat","F"
"Pretoria","Pret","F"
"Primavera","Prim","F"
"Prinses","Prin","F"
"Propriano","Pro","M"
"Pruszkow","Pru","M"
"Puerto","Pue","M"
"Puntag","Pun","M"
"Puolka","Puol","F"
"Purper","Pur","M"
"Puymerl","Puym","F"
"Pyeongchang","Pye","M"
"Queen","Quee","F"
"Quito","Qui","M"
"Rabat","Raba","F"
"Radja","Rad","M"
"Rafaela","Rafa","F"
"Rakker","Rak","M"
"Rambouillet","Ram","M"
"Raspberry","Rasp","F"
"Ratel","Rat","M"
"Redelik","Rede","F"
"Redhot","Red","M"
"Reenboog","Reen","F"
"Reenval","Ree","M"
"Regina","Regi","F"
"Reindeer","Rein","F"
"Renee","Rene","F"
"Rennes","Renn","F"
"Reno","Ren","M"
"Renoster","Reno","F"
"Reva","Reva","F"
"Revdanda","Rev","M"
"Reykjavik","Rey","M"
"Rheban","Rhe","M"
"Richard","Ric","M"
"Ridder","Rid","M"
"Rimini","Rim","M"
"Rimpel","Rimp","F"
"Rio","Rio","M"
"Rioja","Rioj","F"
"Rissiepit","Riss","F"
"Rivas","Riva","F"
"Riversdale","Riv","M"
"Rivier","Rivi","F"
"Riyadh","Riy","M"
"Robben","Robb","F"
"Robin","Rob","M"
"Rochdale","Roc","M"
"Rocky","Roc","M"
"Roeslare","Roes","F"
"Roma","Roma","F"
"Rooikat","Roo","M"
"Rosemary","Rose","F"
"Roslin","Rosl","F"
"Roxanne","Roxa","F"
"Ruby","Ruby","F"
"Rupert","Rup","M"
"Rusk","Rus","M"
"Rustig","Rust","F"
"Ryan","Rya","M"
"Safari","Safa","F"
"Samoa","Samo","F"
"Sampion","Samp","F"
"Sari","Sari","F"
"Schnauzli","Schn","F"
"Selenge","Sel","M"
"Seychelles","Sey","M"
"Shakespeare","Sha","M"
"Shitface","Shi","M"
"Shongololo","Sho","M"
"Siele","Siel","F"
"Sigaret","Sig","M"
"Sion","Sio","M"
"Sirkus","Sirk","F"
"Sitrus","Sitr","F"
"Skemer","Skem","F"
"Skhumbuzo","Skh","M"
"Skin","Skin","F"
"Skollie","Sko","M"
"Slang","Sla","M"
"Sma","SMA","M"
"Smashy","Smas","F"
"Snorretjie","Snor","F"
"Solomon","Sol","M"
"Spampounkoeki","Spam","F"
"Spanspek","Span","F"
"Spek","Spe","M"
"Spook","Spo","M"
"Spotted","Spo","M"
"Styx","Sty","M"
"Sumbawa","Sumb","F"
"Suzy","Suzy","F"
"Sylinder","Syl","M"
"Symetric","Sym","M"
"Talinn","Tal","M"
"Tambacounda","Tam","M"
"Tanganika","Tang","F"
"Tannie","Tann","F"
"Tastyflavours","Tas","M"
"Tchakalaka","Tch","M"
"Tere","Tere","F"
"Tevere","Tev","M"
"Thames","Tha","M"
"Theodore","The","M"
"Timber","Timb","F"
"Tipies","Tipi","F"
"Tirroan","Tir","M"
"Tonga","Tong","F"
"Toronto","Tor","M"
"Tortuga","Tort","F"
"Toulouse","Tou","M"
"Troia","Troi","F"
"Tugela","Tug","M"
"Tunis","Tun","M"
"Tweed","Twe","M"
"Tyler","Tyl","M"
"Ububhibhi","Ubu","M"
"Udupi","Udup","F"
"Uji","Uji","M"
"Ulaanbaatar","Ula","M"
"Ulaka","Ulak","F"
"Ulsan","Uls","M"
"Ulundi","Ulu","M"
"Umbrella","Umb","M"
"Umnak","Umna","F"
"Umtata","Umt","M"
"Umzali","Umz","M"
"Unwabo","Unw","M"
"Uppsala","Upps","F"
"Uraniumcity","Ura","M"
"Utrecht","Utr","M"
"Uvac","Uva","M"
"Vakie","Vak","M"
"Valerie","Vale","F"
"Vance","Van","M"
"Vancouver","Van","M"
"Vascorossi","Vas","M"
"Venezia","Vene","F"
"Victoria","Vict","F"
"Vincent","Vin","M"
"Vladivostok","Vla","M"
"Voldemort","Vol","M"
"Vroutjie","Vrou","F"
"Vryheid","Vry","M"
"Vulkaan","Vul","M"
"Warnem�Nde","War","M"
"Washingtonbabylon","Was","M"
"Watnou","Watn","F"
"Wesley","Wes","M"
"Whidbey","Whid","F"
"Whiskers","Whis","F"
"Wierdo","Wier","F"
"Wietnie","Wiet","F"
"William","Wil","M"
"Wolfie","Wol","M"
"Wurm","Wur","M"
"Xai","Xai","M"
"Xaixai","Xaix","F"
"Xalapa","Xala","F"
"Xaltepec","Xal","M"
"Xar�S","Xar","M"
"Xenia","Xeni","F"
"Xeres","Xer","M"
"Xian","Xian","F"
"Xiashan","Xia","M"
"Xihau","Xih","M"
"Xinji","Xin","M"
"Xinpu","Xinp","F"
"Xinyi","Xiny","F"
"Xiushan","Xiu","M"
"Xopo","Xop","M"
"Xoxocotla","Xox","M"
"Yalu","Yalu","F"
"Yamp","Yam","M"
"Yamuna","Yamu","F"
"Yangtze","Yan","M"
"Yaounde","Yaou","F"
"Yara","Yara","F"
"Yazoo","Yaz","M"
"Yell","Yel","M"
"Yellowstone","Yelo","F"
"Yenissei","Yeni","F"
"Yodo","Yodo","F"
"Yonne","Yon","M"
"Yoogali","Yoog","F"
"Yster","Yst","M"
"Yub","Yub","M"
"Yukon","Yuko","F"
"Yzeron","Yze","M"
"Zaire","Zair","F"
"Zambezi","Zam","M"
"Zankara","Zank","F"
"Zanzibar","Zan","M"
"Zara","Zara","F"
"Zave","Zav","M"
"Zeerust","Zee","M"
"Zeia","Zeia","F"
"Zeus","Zeu","M"
"Zhengzhou","Zhe","M"
"Zhukovsky","Zhu","M"
"Zinkwazi","Zink","F"
"Zion","Zio","M"
"Zuni","Zuni","F"
"Zurich","Zur","M"
"Babyaare2015","BAar15","M"
"Babybog2012","BBog12","F"
"Babydag2012","BDag12","M"
"Babydiana2015","BDia15","M"
"Babyeina2018","BEin18","M"
"Babyemm2012","BEmm12","M"
"Babygaga2013","BGag13","F"
"Babygaya2018","BGay18","M"
"Babygaya2019","BGay19","M"
"Babyguat2021","BGua21","M"
"Babygugu2017","BGug17","M"
"Babygugu2019","BGug19","M"
"Babyhak2011","BHak11","M"
"Babyham2013","BHam13","F"
"Babyheer2019","BHee19","M"
"Babykaya2017","BKay17","M"
"Babylima2018","BLim18","F"
"Babylima2019","BLim19","F"
"Babymara2019","BMar19","M"
"Babyness2015","BNes15","F"
"Babynessie2019","BNes19","M"
"Babyniese2014","BNie14","M"
"Babynurks2018","BNur18","F"
"Babyoerw2021","BOer21","M"
"Babyouli2021","BOul21","M"
"Babypannekoekie2017","BPan17","M"
"Babypotjie2019","BPot19","F"
"Babypretoria2019","BPre19","F"
"Babyredelik2019","BRed19","M"
"Babyrenn2020","BRen20","M"
"Babyreva2019","BRev19","M"
"Babyrosl2020","BRos20","F"
"Babyroxanne2017","BRox17","M"
"Babytonga2015","BTon15","M"
"Babytroi2015","BTro15","M"
"Babyumnak2015","BUmn15","M"
"Babyupp2012","BUpp12","M"
"Babyvict2014","BVic14","M"
"Babywietnie2013","BWie13","F"
"Babyzuni2021","BBFZuni21","M"
