"AnimalCode","AnimalName","DOB"
"Ndaw","Ndawonya",2016-02-08
"Rob","Robin",2016-10-20
"Rene","Renee",2016-11-01
"BAmu16","Baby Amur 2016",2016-11-03
"Loui","Louise",2016-11-09
"Yuko","Yukon",2016-11-09
"Gabi","Gabillou",2016-11-14
"Nah","Nahoon",2016-11-14
"Xia","Xiashan",2016-11-14
"Aara","Aaragon",2016-11-16
"Guny","Gunya",2016-11-16
"Mhao","Mhaori",2016-11-17
"Nge","Ngenakubo",2016-11-18
"Guat","Guatemala",2016-11-22
"Raba","Rabat",2016-11-23
"Yamu","Yamuna",2016-11-23
"BSie16","Baby Siele 2016",2016-11-30
"Dil","Dillon",2016-12-05
"Lua","Luan",2016-12-19
"Dewe","Dewey",2017-01-04
"BNum17","Baby Numbies 2017",2017-09-25
"Sari","Sari",2017-09-30
"BLBl17","Baby Little Blind 2017",2017-10-03
"Aar","Aarhus",2017-10-09
"Amg","Amgoun",2017-10-09
"BGes17","Baby Gese 2017",2017-10-09
"Godu","Goduka",2017-10-09
"BOah17","Baby Oahu 2017",2017-10-10
"Lava","Lavander",2017-10-11
"BPan17","Baby Pann 2017",2017-10-12
"Mokc","Mokcha",2017-10-13
"BRox17","Baby Roxanne 2017",2017-10-16
"Ndik","Ndiki",2017-10-16
"Nuu","Nuuskierig",2017-10-16
"Timb","Timber",2017-10-16
"Aan","Aantreklik",2017-10-17
"Jell","Jelly",2017-10-19
"Pom","Pomelo",2017-10-19
"Rust","Rustig",2017-10-21
"Sirk","Sirkus",2017-10-21
"Pye","Pyeongchang",2017-10-23
"Obse","Obsessie",2017-10-24
"Moya","Moya",2017-10-26
"Hee","Heelal",2017-10-30
"BGug17","Baby Gugu 2017",2017-10-31
"Nak","Nakhu",2017-10-31
"Daa","Daartagnan",2017-11-02
"BRub17","Baby Ruby 2017",2017-11-03
"Rioj","Rioja",2017-11-03
"BKay17","Baby Kaya 2017",2017-11-04
"Gan","Gangtok",2017-11-13
"Rev","Revdanda",2017-11-16
"Xal","Xaltepec",2017-11-18
"Dext","Dexter",2017-11-30
"BMie17","Baby Mielies 2017",2017-12-27
"Dore","Doreen",2017-12-29
"Pun","Puntag",2018-03-02
"Lail","Laila",2018-06-11
"Goe","Goed",2018-10-26
"Hia","Hiasint",2018-10-26
"Lewe","Lewe",2018-10-26
"Mimi","Mimiek",2018-10-26
"Naal","Naaldekoker",2018-10-26
"Xinp","Xinpu",2018-10-28
"Skem","Skemer",2018-11-01
"Spam","Spampounkoeki",2018-11-01
"Ncok","Ncoko",2018-11-02
"Nda","Ndanda",2018-11-03
"BGen18","Baby Geneva 2018",2018-11-05
"Mbil","Mbila",2018-11-05
"Puym","Puy-merl",2018-11-07
"Oerw","Oerwoud",2018-11-09
"Ram","Rambouillet",2018-11-09
"Sig","Sigaret",2018-11-09
"Dix","Dixon",2018-11-11
"Ghi","Ghidigidi",2018-11-12
"BEin18","Baby Eina 2018",2018-11-13
"BNur18","Baby Nurks 2018",2018-11-14
"Rid","Ridder",2018-11-14
"Yaz","Yazoo",2018-11-14
"Ard","Ardig",2018-11-15
"Regi","Regina",2018-11-15
"Prat","Pratella",2018-11-17
"Gil","Gilane",2018-11-20
"Non","Nonnitgie",2018-11-22
NA,"Dunston",2018-11-24
"Guba","Gubane",2018-11-25
"Aal","Aalwyn",2018-11-27
"Dal","Dalton",2018-11-28
"BLim18","Baby Lima 2018",2018-11-29
"Beir","Beirut",2018-12-03
"Yelo","Yelowstone",2018-12-04
"Reen","Reenboog",2018-12-12
"Gris","Griselles",2018-12-13
"Lar","Larry",2018-12-15
"Pix","Pixsel",2018-12-20
"BGay18","Baby Gaya 2018",2018-12-24
"BNya18","Baby Nyanga 2018",2018-12-24
"BXal18","Baby Xalapa 2018",2019-01-21
"BNum19","Baby Numbies 2019",2019-10-03
"BBel19","Baby Bela-Bela 2019",2019-10-14
"BGay19","Baby Gaya 2019",2019-10-14
"BRed19","Baby Redelik 2019",2019-10-19
"BMar19","Baby Mara 2019",2019-10-21
"BDig19","Baby Digby 2019",2019-10-22
"BLim19","Baby Lima 2019",2019-10-22
"BPuo19","Baby Puolka 2019",2019-10-22
"BRev19","Baby Reva 2019",2019-10-23
"BNes19","Baby Nessie 2019",2019-10-24
"BXia19","Baby Xian 2019",2019-10-24
"BPot19","Baby Potjie 2019",2019-10-25
"BHee19","Baby Heer 2019",2019-10-28
"BXal19","Baby Xalapa 2019",2019-10-30
"BMie19","Baby Mielies 2019",2019-10-31
"Nucl","Nuclides",2019-11-04
"BPre19","Baby Pretoria 2019",2019-11-06
"Gree","Greenbay",2019-11-06
"BGug19","Baby Gugu 2019",2019-11-09
"Ren","Reno",2019-11-12
"Awa","Awash",2020-11-03
"BRos20","Baby Rosl 2020",2020-11-03
"App","Appel",2020-11-04
"Papp","Papp",2020-11-04
"Gib","Gibela",2020-11-12
"Popp","Poppie",2020-11-12
"Yon","Yonne",2020-11-12
"Gus","Gusha",2020-11-16
"Ndum","Ndumiso",2020-11-16
"BDig20","Baby Digby 2020",2020-11-17
"Gha","Ghandaghanda",2020-11-17
"Ouma","Ouma",2020-11-18
"Heli","Helikopter",2020-11-19
"Nkun","Nkunzi",2020-11-19
"Roes","Roeslare",2020-11-19
"Dazz","Dazzle",2020-11-20
"Eis","Eish",2020-11-21
"BRen20","Baby Renn 2020",2020-11-22
"Gri","Griffin",2020-11-23
"Xop","Xopo",2020-11-23
"Ree","Reenval",2020-11-24
"Rivi","Rivier",2020-11-24
"Span","Spanspek",2020-11-24
"Syl","Sylinder",2020-11-24
"Mui","Muis",2020-11-25
"Bang","Bangalore",2020-11-26
"BGua20","Baby Guat 2020",2020-12-02
"Udup","Udupi",2021-01-19
"BDia21","Baby Dian 2021",2021-09-29
"Nul","Nul",2021-10-06
"BOul21","Baby Ouli 2021",2021-10-09
"Ndl","Ndlovu",2021-11-02
"Nko","Nkomo",2021-11-04
"Gom","Gomonqo",2021-11-03
"Gobe","Gobela",2021-11-12
"Nyal","Nyala",2021-11-05
"BNda21","Baby Ndaw 2021",2021-11-18
"Ask","Askies",2021-10-27
"Padk","Padkos",2021-10-27
"Eie","Eier",2021-11-02
"Haai","Haaigranaat",2021-11-04
"Hem","Hemel",2021-11-04
"Ome","Omelet",2021-11-04
"Pur","Purper",2021-11-05
"Noo","Nooit",2021-11-09
"Sla","Slang",2021-11-09
"Rimp","Rimpel",2021-11-18
"Sitr","Sitrus",2021-11-18
"Misk","Miskien",2021-11-19
"Spe","Spek",2021-11-13
"Griv","Grive",2021-11-03
"Gale","Galeria",2021-11-05
"BGua21","Baby Guat 2021",2021-11-02
"Xih","Xihau",2021-10-21
"Utic","Utica",2021-11-06
"Rafa","Rafaela",2021-11-02
"Dis","Disco",2021-11-21
"Dani","Danielle",2021-11-22
"BBDew21","Baby Dewe 2021",2021-11-16
"Dail","Daila",2021-11-20
"Yub","Yub",2021-12-21
"Xeni","Xenia",2020-11-03
"Poff","Pofferthie",2018-10-26
"BNya20","Baby Nyanga 2020",2020-11-21
"BBXian22","BBXian22",2022-10-21
"Ang","Angara",2022-10-26
"Grim","Grimsby",2022-11-04
"Glo","Gloed",2022-11-04
"Gua","Guadalajara",2022-11-08
"Atj","Atjar",2022-11-18
"Oase","Oase",2022-11-19
"Prag","Prague",2022-11-26
"Naga","Nagapie",2022-11-29
"Udi","Udine",2022-11-30
"Ekse","Ekse",2022-12-07
"Her","Herskep",2022-12-07
"Xati","Xativa",2022-12-07
"Ris","Rishikesh",2022-12-14
"Gab","Gabaroni",2022-12-15
"Rooi","Rooibos",2022-12-17
"BBXala23","BBXala23",2023-08-08
"BBXimp23","BBXimp23",2023-07-13
"BBGran23","BBGran23",2023-08-18
"BBNkos23","BBNkos23",2023-09-06
"BBRegi23","BBRegi23",2023-09-12
"BBGree23","BBGree23",2023-09-13
"BBNaal23","BBNaal23",2023-09-19
"BBAare23","BBAare23",2023-09-25
"BBAara23","BBAara23",2023-09-26
"Axom","Axomamma",2023-10-05
"BBCirc23","BBCirc23",2023-10-05
"BBPrat23","BBPrat23",2023-10-07
"BBSkem23","BBSkem23",2023-10-05
"BBNdon23","BBNdon23",2023-11-02
"BBNooi23","BBNooi23",2023-11-03
