"LH_RowNumber","LH_AnimalID","LH_AnimalCode","OtherID","Sex","EarMark","DOB","FirstDate","DateAdult","CurrentGroup","BirthGroup","LH_MotherID","LH_FatherID","EmigrationNatalDate","ImmigrationGroup1","ImmigrationDate1","LastDate1","ImmigrationGroup2","ImmigrationDate2","LastDate2","ImmigrationGroup3","ImmigrationDate3","LastDate3","ImmigrationGroup4","ImmigrationDate4","LastDate4","ReliableData","Comments","AnimalID_Std"
42,"Tannie","Tann",NA,"F",NA,NA,2010-11-26,NA,NA,"BD",NA,NA,NA,NA,NA,2010-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fate unknown - split gp?","Tannie"
43,"Dwergie","Dwe",NA,"M",NA,NA,2010-12-01,NA,NA,"BD","Dagga","Auckland",2016-01-19,"AK",2016-01-26,2016-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2010, Seen in AK twice after leaving date (approx 1 and 2 months after)","Dwergie"
44,"Pannekoekie","Pann",NA,"F","10",NA,2010-12-01,NA,"BD","BD","Snortjie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2010, mistakenly assumed Princes was mother (hence P name), but genetics shows Snor is mother","Pannekoekie"
45,"Wolfie","Wol",NA,"M",NA,NA,2010-12-01,NA,NA,"BD","Wietnie",NA,2015-07-17,"AK",2015-07-20,2018-05-24,"NH",2018-05-29,2018-12-19,NA,NA,NA,NA,NA,NA,NA,"Born in 2010","Wolfie"
46,"Xai-Xai","Xaix",NA,"F",NA,NA,2010-12-03,NA,NA,"NH",NA,NA,NA,NA,NA,2015-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead body found 27/10/15","Xaixai"
47,"Little Napoli",NA,NA,"M",NA,NA,2010-12-04,NA,NA,NA,NA,NA,NA,"RC",NA,2010-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Littlenapoli"
48,"Gigolo","Gig",NA,"M",NA,NA,2010-12-07,NA,NA,NA,NA,NA,NA,"BD",2010-12-07,2010-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Individual seen just once","Gigolo"
49,"Michael Jackson","Mic",NA,"M",NA,NA,2010-12-08,NA,NA,NA,NA,NA,NA,"RC",NA,2010-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Michaeljackson"
50,"Mfolozi","Mfo","Hunchback","M",NA,NA,2010-12-12,NA,NA,"AK","Mamoobi",NA,2012-05-02,"LT",2012-05-16,2014-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2007; described as ""hunchback"" or ""hunchback juv"" early on in records","Mfolozi"
51,"Black tits",NA,NA,"F",NA,NA,2010-12-13,NA,NA,"RC",NA,NA,NA,NA,NA,2010-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Blacktits"
52,"Drew","Drew",NA,"F",NA,NA,2010-12-13,NA,NA,"RC",NA,NA,NA,NA,NA,2011-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2008","Drew"
53,"Little Balls",NA,NA,"M",NA,NA,2010-12-13,NA,NA,NA,NA,NA,NA,"RC",NA,2010-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Only recorded once","Littleballs"
54,"Mini MJ",NA,NA,"F",NA,NA,2010-12-13,NA,NA,"RC",NA,NA,NA,NA,NA,2011-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2009","Minimj"
55,"Pink","Pink",NA,"F","20",NA,2010-12-13,NA,NA,"RC",NA,NA,NA,NA,NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Pink"
56,"Radja","Rad",NA,"M",NA,NA,2010-12-13,NA,NA,"RC",NA,NA,2011-11-25,NA,NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Radja"
57,"Skin","Skin",NA,"F",NA,NA,2010-12-13,NA,NA,"RC",NA,NA,NA,NA,NA,2010-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Skin"
58,"Istanbul","Ist",NA,"M",NA,NA,2010-12-15,NA,NA,"NH",NA,NA,2012-01-09,NA,NA,2012-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Istanbul"
59,"Quito","Qui","Santiago","M",NA,NA,2010-12-15,NA,NA,"NH",NA,"Rusk",2011-11-19,"LT",2011-11-19,2015-11-12,"AK",2012-05-08,2013-10-28,"LT",2014-02-25,2015-11-12,"LTsplit",2016-02-04,NA,NA,"Left AK between march and april 2013.","Quito"
60,"Guns and Roses","Gun",NA,"M",NA,NA,2010-12-18,NA,NA,NA,NA,NA,NA,"RC",NA,2010-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Only recorded once","Gunsandroses"
61,"Hamba","Hamb",NA,"F",NA,NA,2010-12-18,NA,NA,"AK",NA,NA,NA,NA,NA,2015-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disappeared - body not found","Hamba"
62,"Isilonda","Isil",NA,"F",NA,NA,2010-12-18,NA,NA,"AK",NA,NA,2016-02-29,"IFamily",2016-04-29,2017-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.02.2016 Last time w/ rest of AK, 07.04.2017 = last recorded date of Ifamily","Isilonda"
63,"SMA","SMA",NA,"M",NA,NA,2010-12-18,NA,NA,"AK",NA,NA,NA,"BD",NA,2012-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2006, fate unknown","Sma"
64,"Ulaka","Ulak",NA,"F","2",NA,2010-12-18,NA,NA,"AK",NA,NA,NA,NA,NA,2013-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born between 2006-2007, Presumed dead, no body found","Ulaka"
65,"Elvis Presley","Elv",NA,"M",NA,NA,2010-12-24,NA,NA,NA,NA,NA,NA,"RC",NA,2011-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Elvispresley"
66,"Gino","Gin",NA,"M",NA,NA,2010-12-24,NA,NA,"RC",NA,NA,2011-11-25,NA,NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2007","Gino"
67,"Jimmy Hendricks","Jim",NA,"M","3",NA,2010-12-24,NA,NA,NA,NA,NA,NA,"RC",NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Jimmyhendricks"
68,"Karen Zoid","Kare",NA,"F",NA,NA,2010-12-24,NA,NA,"RC",NA,NA,NA,NA,NA,2010-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Karenzoid"
69,"Oom","Oom",NA,"M",NA,NA,2010-12-24,NA,NA,NA,NA,NA,NA,"BD",2010-12-24,2012-11-19,"InBetweeners",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formed new group Inbetweeners with three BD females","Oom"
70,"Pat Lansky","Pat",NA,"M",NA,NA,2010-12-28,NA,NA,NA,NA,NA,NA,"RC",NA,2011-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Patlansky"
71,"Geneva","Gene",NA,"F","1",NA,2011-01-13,NA,NA,"NH",NA,NA,NA,NA,NA,2019-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date","Geneva"
72,"Bryan","Bry",NA,"M",NA,NA,2011-01-16,NA,NA,NA,NA,NA,NA,"LT",2011-01-16,2012-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Only seen twice after Sept 2011","Bryan"
73,"Gagasa","Gaga",NA,"F",NA,NA,2011-01-18,NA,NA,"AK",NA,NA,NA,NA,NA,2016-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Died in BGE/by poaching dog (see BGE/alarm forms)","Gagasa"
74,"Jakarta","Jaka",NA,"F","1",NA,2011-01-18,NA,NA,"NH",NA,NA,2016-04-14,"Iceland",NA,2016-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date + Split group","Jakarta"
75,"Mamoobi","Mamo",NA,"F",NA,NA,2011-01-18,NA,NA,"AK",NA,NA,NA,NA,NA,2019-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead, body not found, in logbook as seen on 09/05/19 but likely a mistake","Mamoobi"
76,"Okuncane","Oku","Dot","M",NA,NA,2011-01-18,NA,NA,"AK",NA,"Sanbonani",2013-02-15,"BD",2013-02-19,2014-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2007","Okuncane"
77,"Yaounde","Yaou",NA,"F",NA,NA,2011-01-18,NA,NA,"NH",NA,NA,NA,NA,NA,2015-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date + dead","Yaounde"
78,"Queen","Quee",NA,"F","1",NA,2011-01-19,NA,NA,"RC",NA,NA,NA,NA,NA,2011-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born between 2005-2006","Queen"
79,"William","Wil",NA,"M",NA,NA,2011-01-19,NA,NA,NA,NA,NA,NA,"LT",2011-01-19,2012-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen once on 2012/05/17 in LT after official departure date","William"
80,"James","Jam",NA,"M","21",NA,2011-01-28,NA,NA,NA,NA,NA,NA,"LT",2011-01-28,2012-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","James"
81,"Lizz","Lizz",NA,"F","1",NA,2011-01-28,NA,"LT","LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Lizz"
82,"Asis","Asis",NA,"F","22",NA,2011-02-19,NA,"BD","BD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Asis"
83,"Diana","Dian",NA,"F",NA,NA,2011-02-19,NA,"LT","LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Diana"
84,"Venezia","Vene",NA,"F",NA,NA,2011-02-19,NA,NA,"NH",NA,NA,NA,NA,NA,2010-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Venezia"
85,"Bogota","Bogo",NA,"F","30",NA,2011-03-05,NA,NA,"NH",NA,NA,2016-04-13,"Iceland",NA,2016-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNK birth date + Split group","Bogota"
86,"Lausanne","Laus",NA,"F","1",NA,2011-03-05,NA,NA,"NH",NA,NA,NA,NA,NA,2014-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last seen during BGE, by BD observers","Lausanne"
87,"Little Blind",NA,"JL","F",NA,NA,2011-03-24,NA,NA,"BD",NA,NA,NA,NA,NA,2021-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009, last seen in BD on 12/03/2021, presumed dead.","Littleblind"
88,"Dagga","Dagg",NA,"F","11",NA,2011-04-07,NA,NA,"BD",NA,NA,2012-11-29,"InBetweeners",NA,2013-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formed new group IB. Found dead 23/12/2013","Dagga"
89,"Donsig","Don",NA,"M",NA,NA,2011-04-07,NA,NA,"BD","Dagga","Pik",2015-01-15,"LT",2015-04-03,2018-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2009, seen twice in LT in March 2019","Donsig"
90,"Engel","Enge","Chouchou;JC","F","14",NA,2011-04-07,NA,"BD","BD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009","Engel"
91,"Ertjies","Ert","JA;Small balls","M",NA,NA,2011-04-07,NA,NA,"BD",NA,NA,2012-04-26,"NH",2012-04-26,2015-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Ertjies"
92,"Grote","Gro","JI;Big balls","M",NA,NA,2011-04-07,NA,NA,"BD",NA,NA,2012-03-21,"NH",2012-05-01,2013-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Grote"
93,"Nam nam","Namn",NA,"F","20",NA,2011-04-07,NA,NA,"BD","Numbies","Pik",NA,NA,NA,2013-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009, likely died from miscarriage 2 weeks earlier","Namnam"
94,"Gesels","Gese","Little boks;JG","F","15",NA,2011-04-12,NA,"BD","BD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born in 2009","Gesels"
95,"Snorretjie","Snor",NA,"F",NA,NA,2011-04-19,NA,NA,"BD",NA,NA,NA,NA,NA,2019-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disappeared during big draughts. Probably dead. Collar or carcas never found.","Snorretjie"
96,"Bingo","Bin","JM","M",NA,NA,2011-04-25,NA,NA,"BD",NA,NA,2015-01-15,NA,NA,2015-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No?","Probably born in 2009 - confused with another AK male  - kommunis big mess but not the same monkey - write here whether other form data has been affected","Bingo"
97,"Rissiepit","Riss",NA,"F",NA,NA,2011-04-26,NA,"BD","BD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born 2006","Rissiepit"
98,"Tipies","Tipi",NA,"F","20",NA,2011-04-26,NA,NA,"BD",NA,NA,2012-11-13,"InBetweeners",NA,2013-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Born 2007. Formed new group Inbetweeners","Tipies"
99,"Vroutjie","Vrou",NA,"F",NA,NA,2011-04-26,NA,NA,"BD",NA,NA,2014-01-05,"Intaka",NA,2016-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formed IN with Wiet, Bemi","Vroutjie"
100,"Wietnie","Wiet",NA,"F",NA,NA,2011-05-09,NA,NA,"BD",NA,NA,2014-01-05,"Intaka",NA,2016-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Formed IN with Bemi, Vrou","Wietnie"
101,"Hamlet","Ham","SMA","M","20",NA,2011-05-14,NA,NA,"LT",NA,NA,2013-05-07,"AK",2013-05-24,2014-05-14,"BD",2014-05-28,2015-05-26,"CR",2015-08-18,2015-10-24,NA,NA,NA,NA,"Probably born in 2007, left AK between 14th March and 20th April 2014, seen once more in CR in Jan 2016","Hamlet"
102,"Suzy","Suzy",NA,"F",NA,NA,2011-06-01,NA,NA,"LT",NA,NA,2015-03-10,"FirstLTsplinter",NA,2015-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seen in splinter group in september 2015","Suzy"
103,"Rusk","Rus",NA,"M",NA,NA,2011-06-04,NA,NA,NA,NA,NA,NA,"BD",2011-06-06,2013-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recorded one more time in BD 11/03/2014, unclear if mistake or not","Rusk"
104,"Elton","Elt","SMB","M","13",NA,2011-06-09,NA,NA,"LT",NA,NA,2012-02-04,"AK",2012-01-28,2016-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2006, recorded 12/6/12 in LT, unclear if error or not, seen once more in AK on 27/02/16, after first sighting in AK not sighted again until 08/5/12","Elton"
105,"Harry","Har",NA,"M",NA,NA,2011-06-09,NA,NA,NA,NA,NA,NA,"LT",2011-06-09,2012-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First noted in LT logbook 11/06/09","Harry"
106,"Tunis","Tun",NA,"M",NA,NA,2011-06-25,NA,NA,"NH","Troia",NA,2011-11-26,NA,NA,2011-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Presumed dead","Tunis"
107,"Newton","New",NA,"M",NA,NA,2011-07-09,NA,NA,NA,NA,NA,NA,"LT",2011-07-09,2014-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Only seen twice since Nov 2013","Newton"
108,"Jackie","Jac","Little Jackie;JD","M",NA,NA,2011-08-03,NA,NA,"LT",NA,NA,2014-06-20,NA,NA,2014-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2009;fate unknown","Jackie"
109,"Merlin","Mer","Little Merlin;JF","M",NA,NA,2011-08-03,NA,NA,"LT",NA,NA,2014-12-11,NA,NA,2014-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Probably born in 2009, fate unknown…. Mixed with Mercury?","Merlin"
110,"Mousse","Mou","JG","M",NA,NA,2011-08-03,NA,NA,"LT",NA,NA,2014-06-03,NA,NA,2014-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably born in 2009, fate unknown. Maybe seen once more on 20.06.14 but maybe error?","Mousse"
111,"Theodore","The",NA,"M","21",NA,2011-08-09,NA,NA,NA,NA,NA,NA,"LT",2011-08-09,2012-02-09,"AK",2012-04-17,2013-01-18,NA,NA,NA,NA,NA,NA,NA,"Seen 3 times in LT in June 2012, noted first time in LT logbook on 2011/08/09, seen once in AK in March 2012","Theodore"
