"LH_RowNumber","AnimalCode","AnimalName","OtherID","Sex","DOB","FirstDate","DOB_estimate","Age_yr","Age_class","Group_mb","StartDate_mb","EndDate_mb","Tenure_type","Mother","Father","ReliableData","Fate_probable","Comments"
16,"Upps","Uppsala",NA,"F",NA,"2010-11-08","2010-11-08",NA,"adult","NH","2010-11-08","2023-11-16","BirthGroup",NA,NA,NA,NA,NA
17,"Zara","Zara",NA,"F",NA,"2010-11-08","2010-11-08",NA,"adult","NH","2010-11-08","2016-05-25","BirthGroup",NA,NA,NA,NA,"Went in Split group Zfamily not followed"
17,"Zara","Zara",NA,"F",NA,"2010-11-08","2010-11-08",NA,"adult","Zfamily","2016-05-25","2016-05-25","GroupSplit",NA,NA,NA,NA,"Went in Split group Zfamily not followed"
18,"Ado","Adonis",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","BD","2010-11-09","2011-02-08","MigrationGroup1",NA,NA,NA,"migrated","Unclear if immigration date is just first seen date, seen regularly until 31-12-10 and then seen once on last seen date"
19,"Bab","Babelas","M30","M",NA,"2010-11-09","2010-11-09",NA,"adult","LT","2022-06-17","2022-06-30","MigrationGroup3",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
19,"Bab","Babelas","M30","M",NA,"2010-11-09","2010-11-09",NA,"adult","LT","2019-06-24","2021-04-07","MigrationGroup2",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
19,"Bab","Babelas","M30","M",NA,"2010-11-09","2010-11-09",NA,"adult","NH","2014-05-19","2016-04-19","MigrationGroup1",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
19,"Bab","Babelas","M30","M",NA,"2010-11-09","2010-11-09",NA,"adult","BD","2010-11-09","2014-05-15","BirthGroup",NA,NA,NA,NA,"Born in 2009. He was captured and collared 21/06/2022 in Lemon Tree. "
20,"Bok","Boks",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","BD","2010-11-09","2010-12-24","MigrationGroup1",NA,NA,NA,"migrated","Unclear if immigration date is just first seen date"
21,"Foei","Foei",NA,"F",NA,"2010-11-09","2010-11-09",NA,"adult","BD","2010-11-09","2011-04-19","BirthGroup",NA,NA,NA,NA,"Fate unknown - split gp?"
22,"Kaik","Kaiki",NA,"F",NA,"2010-11-09","2010-11-09",NA,"adult","BD","2010-11-09","2012-11-15","BirthGroup",NA,NA,NA,NA,"Formed new group Inbetweeners"
22,"Kaik","Kaiki",NA,"F",NA,"2010-11-09","2010-11-09",NA,"adult","InBetweeners","2012-11-15","2014-08-30","GroupSplit",NA,NA,NA,NA,"Formed new group Inbetweeners"
23,"Lek","Lekker",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","BD","2012-05-19","2015-02-12","MigrationGroup3",NA,NA,NA,NA,"Some days in May-June 2012 where he is back and forth between NH and BD"
23,"Lek","Lekker",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","NH","2012-04-28","2012-05-18","MigrationGroup2",NA,NA,NA,NA,"Some days in May-June 2012 where he is back and forth between NH and BD"
23,"Lek","Lekker",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","BD","2010-11-09","2012-04-23","MigrationGroup1",NA,NA,NA,NA,"Some days in May-June 2012 where he is back and forth between NH and BD"
24,NA,"Little Skollie",NA,"M",NA,"2010-11-09","2010-11-09",NA,"adult","NH","2014-05-19","2015-06-16","MigrationGroup1",NA,NA,NA,NA,"Born in 2009, seen with unhabituated group in NH sleep1 short time (~weeks-months) after departure from NH"
24,NA,"Little Skollie",NA,"M",NA,"2010-11-09","2010-11-09",NA,"adult","BD","2010-11-09","2014-05-15","BirthGroup",NA,NA,NA,NA,"Born in 2009, seen with unhabituated group in NH sleep1 short time (~weeks-months) after departure from NH"
25,"Mooi","Mooi",NA,"F",NA,"2010-11-09","2010-11-09",NA,"adult","BD","2010-11-09","2015-05-26","BirthGroup",NA,NA,NA,"dead","Last seen looking almost ""drugged"", vey weak, presumed dead. Recorded a few times after last seen date, but likely errors"
26,"Numb","Numbies",NA,"F",NA,"2010-11-09","2010-11-09",NA,"adult","BD","2010-11-09","2023-04-08","BirthGroup",NA,NA,NA,NA,NA
27,"Ouli","Oulik",NA,"F",NA,"2010-11-09","2010-11-09",NA,"adult","BD","2010-11-09","2023-11-16","BirthGroup",NA,NA,NA,NA,NA
28,"Pik","Pik",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","BD","2010-11-09","2012-09-21","MigrationGroup1",NA,NA,NA,"migrated","Unclear if immigration date is just first seen date"
29,"Prin","Prinses",NA,"F",NA,"2010-11-09","2010-11-09",NA,"adult","BD","2010-11-09","2017-05-18","BirthGroup",NA,NA,NA,NA,"Recorded twice after official last seen but likely a mistake"
30,"Sko","Skollie",NA,"M",NA,"2010-11-09","2006-11-09",NA,"adult","BD","2010-11-09","2010-12-07","MigrationGroup1",NA,NA,NA,"migrated","Unclear if immigration date is just first seen date"
31,"Feek","Feekie",NA,"F",NA,"2010-11-10","2010-11-10",NA,"adult","BD","2010-11-10","2012-11-13","BirthGroup","Foei",NA,NA,NA,"Born in 2008/2009?. Formed new group Inbetweeners"
31,"Feek","Feekie",NA,"F",NA,"2010-11-10","2010-11-10",NA,"adult","InBetweeners","2012-11-13","2013-02-01","GroupSplit","Foei",NA,NA,NA,"Born in 2008/2009?. Formed new group Inbetweeners"
32,"Nkos","Nkosikasi",NA,"F",NA,"2010-11-11","2010-11-11",NA,"adult","AK","2010-11-11","2023-11-16","BirthGroup",NA,NA,NA,NA,"Probably born between 2005-2006"
33,"Xox","Xoxocotla",NA,"M","2010-11-15","2010-11-15","2010-11-15",13,"adult","NH","2010-11-15","2014-02-24","BirthGroup","XaiXai",NA,NA,"dead","dead - unclear if body found"
34,"Heer","Heerlik",NA,"F",NA,"2010-11-16","2010-11-16",NA,"adult","BD","2010-11-16","2023-11-16","BirthGroup","Hakie","Auckland",NA,NA,"DOB unconfirmed"
35,"Miel","Mielies",NA,"F",NA,"2010-11-16","2010-11-16",NA,"adult","BD","2010-11-16","2023-11-16","BirthGroup","Mooi",NA,NA,NA,"DOB unconfirmed"
36,"Yst","Yster",NA,"M",NA,"2010-11-17","2006-11-17",NA,"adult","AK","2011-08-17","2013-12-18","MigrationGroup2",NA,NA,"No",NA,"Possibly not Yster in AK but BD male. "
36,"Yst","Yster",NA,"M",NA,"2010-11-17","2006-11-17",NA,"adult","BD","2010-11-17","2011-02-12","MigrationGroup1",NA,NA,"No",NA,"Possibly not Yster in AK but BD male. "
37,"Jink","Jinka",NA,"F","2010-11-22","2010-11-22","2010-11-22",12.98,"adult","NH","2010-11-22","2016-04-13","BirthGroup","Jakarta",NA,NA,NA,"Split group"
37,"Jink","Jinka",NA,"F","2010-11-22","2010-11-22","2010-11-22",12.98,"adult","Iceland","2016-04-13","2016-07-12","GroupSplit","Jakarta",NA,NA,NA,"Split group"
38,"Xai","Xai",NA,"M",NA,"2010-11-22","2007-11-01",NA,"adult","RC","2010-11-22","2011-11-01","BirthGroup",NA,NA,"No",NA,"Name conflicts with XaiXai NH"
39,"Bemi","Beminde",NA,"F",NA,"2010-11-23","2010-11-23",NA,"adult","BD","2010-11-23","2014-01-05","BirthGroup",NA,NA,NA,NA,"Born 2007, formed IN with Wiet, Vrou"
39,"Bemi","Beminde",NA,"F",NA,"2010-11-23","2010-11-23",NA,"adult","Intaka","2014-01-05","2016-06-15","GroupSplit",NA,NA,NA,NA,"Born 2007, formed IN with Wiet, Vrou"
40,"Haki","Hakie",NA,"F",NA,"2010-11-23","2010-11-23",NA,"adult","BD","2010-11-23","2014-02-12","BirthGroup",NA,NA,NA,NA,"Fate unknown"
41,"Kie","Kies",NA,"M","2010-11-23","2010-11-23","2010-11-23",12.98,"adult","AK","2015-07-20","2015-12-24","MigrationGroup1","Kaiki",NA,NA,NA,"Seen once more in AK the Jan after leaving"
41,"Kie","Kies",NA,"M","2010-11-23","2010-11-23","2010-11-23",12.98,"adult","BD","2010-11-23","2015-07-17","BirthGroup","Kaiki",NA,NA,NA,"Seen once more in AK the Jan after leaving"
42,"Tann","Tannie",NA,"F",NA,"2010-11-26","2010-11-26",NA,"adult","BD","2010-11-26","2010-12-24","BirthGroup",NA,NA,NA,NA,"Fate unknown - split gp?"
43,"Dwe","Dwergie",NA,"M",NA,"2010-12-01","2010-12-01",NA,"adult","AK","2016-01-26","2016-03-23","MigrationGroup1","Dagga","Auckland",NA,NA,"Born in 2010, Seen in AK twice after leaving date (approx 1 and 2 months after)"
43,"Dwe","Dwergie",NA,"M",NA,"2010-12-01","2010-12-01",NA,"adult","BD","2010-12-01","2016-01-19","BirthGroup","Dagga","Auckland",NA,NA,"Born in 2010, Seen in AK twice after leaving date (approx 1 and 2 months after)"
44,"Pann","Pannekoekie",NA,"F",NA,"2010-12-01","2010-12-01",NA,"adult","BD","2010-12-01","2023-11-16","BirthGroup","Snortjie",NA,NA,NA,"Born in 2010, mistakenly assumed Princes was mother (hence P name), but genetics shows Snor is mother"
45,"Wol","Wolfie",NA,"M",NA,"2010-12-01","2010-12-01",NA,"adult","NH","2018-05-29","2018-12-19","MigrationGroup2","Wietnie",NA,NA,NA,"Born in 2010"
45,"Wol","Wolfie",NA,"M",NA,"2010-12-01","2010-12-01",NA,"adult","AK","2015-07-20","2018-05-24","MigrationGroup1","Wietnie",NA,NA,NA,"Born in 2010"
45,"Wol","Wolfie",NA,"M",NA,"2010-12-01","2010-12-01",NA,"adult","BD","2010-12-01","2015-07-17","BirthGroup","Wietnie",NA,NA,NA,"Born in 2010"
46,"Xaix","Xai-Xai",NA,"F",NA,"2010-12-03","2010-12-03",NA,"adult","NH","2010-12-03","2015-10-27","BirthGroup",NA,NA,NA,"dead","dead body found 27/10/15"
47,NA,"Little Napoli",NA,"M",NA,"2010-12-04","2006-12-04",NA,"adult","RC","2010-12-04","2010-12-13","MigrationGroup1",NA,NA,"No",NA,NA
48,"Gig","Gigolo",NA,"M",NA,"2010-12-07","2006-12-07",NA,"adult","BD","2010-12-07","2010-12-07","MigrationGroup1",NA,NA,NA,NA,"Individual seen just once"
49,"Mic","Michael Jackson",NA,"M",NA,"2010-12-08","2006-12-08",NA,"adult","RC","2010-12-08","2010-12-11","MigrationGroup1",NA,NA,"No",NA,NA
50,"Mfo","Mfolozi","Hunchback","M",NA,"2010-12-12","2008-05-02",NA,"adult","LT","2012-05-16","2014-10-21","MigrationGroup1","Mamoobi",NA,NA,NA,"Probably born in 2007; described as ""hunchback"" or ""hunchback juv"" early on in records"
50,"Mfo","Mfolozi","Hunchback","M",NA,"2010-12-12","2008-05-02",NA,"adult","AK","2010-12-12","2012-05-02","BirthGroup","Mamoobi",NA,NA,NA,"Probably born in 2007; described as ""hunchback"" or ""hunchback juv"" early on in records"
51,NA,"Black tits",NA,"F",NA,"2010-12-13","2010-12-13",NA,"adult","RC","2010-12-13","2010-12-13","BirthGroup",NA,NA,"No",NA,NA
52,"Drew","Drew",NA,"F",NA,"2010-12-13","2010-12-13",NA,"adult","RC","2010-12-13","2011-11-01","BirthGroup",NA,NA,"No",NA,"Probably born in 2008"
53,NA,"Little Balls",NA,"M",NA,"2010-12-13","2006-12-13",NA,"adult","RC","2010-12-13","2010-12-13","MigrationGroup1",NA,NA,"No",NA,"Only recorded once"
54,NA,"Mini MJ",NA,"F",NA,"2010-12-13","2010-12-13",NA,"adult","RC","2010-12-13","2011-11-01","BirthGroup",NA,NA,"No",NA,"Probably born in 2009"
55,"Pink","Pink",NA,"F",NA,"2010-12-13","2010-12-13",NA,"adult","RC","2010-12-13","2011-11-25","BirthGroup",NA,NA,"No",NA,NA
56,"Rad","Radja",NA,"M",NA,"2010-12-13","2007-11-25",NA,"adult","RC","2010-12-13","2011-11-25","BirthGroup",NA,NA,"No",NA,NA
57,"Skin","Skin",NA,"F",NA,"2010-12-13","2010-12-13",NA,"adult","RC","2010-12-13","2010-12-13","BirthGroup",NA,NA,"No",NA,NA
58,"Ist","Istanbul",NA,"M",NA,"2010-12-15","2008-01-09",NA,"adult","NH","2010-12-15","2012-01-09","BirthGroup",NA,NA,NA,NA,NA
59,"Qui","Quito","Santiago","M",NA,"2010-12-15","2007-11-19",NA,"adult","LTsplit","2016-02-04","2023-11-16","MigrationGroup4",NA,"Rusk",NA,NA,"Left AK between march and april 2013."
59,"Qui","Quito","Santiago","M",NA,"2010-12-15","2007-11-19",NA,"adult","LT","2014-02-25","2015-11-12","MigrationGroup3",NA,"Rusk",NA,NA,"Left AK between march and april 2013."
59,"Qui","Quito","Santiago","M",NA,"2010-12-15","2007-11-19",NA,"adult","AK","2012-05-08","2013-10-28","MigrationGroup2",NA,"Rusk",NA,NA,"Left AK between march and april 2013."
59,"Qui","Quito","Santiago","M",NA,"2010-12-15","2007-11-19",NA,"adult","LT","2011-11-19","2015-11-12","MigrationGroup1",NA,"Rusk",NA,NA,"Left AK between march and april 2013."
59,"Qui","Quito","Santiago","M",NA,"2010-12-15","2007-11-19",NA,"adult","NH","2010-12-15","2011-11-19","BirthGroup",NA,"Rusk",NA,NA,"Left AK between march and april 2013."
60,"Gun","Guns and Roses",NA,"M",NA,"2010-12-18","2006-12-18",NA,"adult","RC","2010-12-18","2010-12-18","MigrationGroup1",NA,NA,"No",NA,"Only recorded once"
61,"Hamb","Hamba",NA,"F",NA,"2010-12-18","2010-12-18",NA,"adult","AK","2010-12-18","2015-08-22","BirthGroup",NA,NA,NA,"dead","Disappeared - body not found"
62,"Isil","Isilonda",NA,"F",NA,"2010-12-18","2010-12-18",NA,"adult","IFamily","2016-04-29","2017-04-07","MigrationGroup1",NA,NA,NA,NA,"29.02.2016 Last time w/ rest of AK, 07.04.2017 = last recorded date of Ifamily"
62,"Isil","Isilonda",NA,"F",NA,"2010-12-18","2010-12-18",NA,"adult","AK","2010-12-18","2016-02-29","BirthGroup",NA,NA,NA,NA,"29.02.2016 Last time w/ rest of AK, 07.04.2017 = last recorded date of Ifamily"
63,"SMA","SMA",NA,"M",NA,"2010-12-18",NA,NA,NA,"AK","2010-12-18","2012-01-25","BirthGroup",NA,NA,"No",NA,"Probably born in 2006, fate unknown"
64,"Ulak","Ulaka",NA,"F",NA,"2010-12-18","2010-12-18",NA,"adult","AK","2010-12-18","2013-09-14","BirthGroup",NA,NA,NA,"dead","Probably born between 2006-2007, Presumed dead, no body found"
65,"Elv","Elvis Presley",NA,"M",NA,"2010-12-24","2006-12-24",NA,"adult","RC","2010-12-24","2011-11-11","MigrationGroup1",NA,NA,"No",NA,NA
66,"Gin","Gino",NA,"M",NA,"2010-12-24","2007-11-25",NA,"adult","RC","2010-12-24","2011-11-25","BirthGroup",NA,NA,"No",NA,"Probably born in 2007"
67,"Jim","Jimmy Hendricks",NA,"M",NA,"2010-12-24","2006-12-24",NA,"adult","RC","2010-12-24","2011-11-25","MigrationGroup1",NA,NA,"No",NA,NA
68,"Kare","Karen Zoid",NA,"F",NA,"2010-12-24","2010-12-24",NA,"adult","RC","2010-12-24","2010-12-24","BirthGroup",NA,NA,"No",NA,NA
69,"Oom","Oom",NA,"M",NA,"2010-12-24","2006-12-24",NA,"adult","BD","2010-12-24","2012-11-19","MigrationGroup1",NA,NA,NA,NA,"Formed new group Inbetweeners with three BD females"
70,"Pat","Pat Lansky",NA,"M",NA,"2010-12-28","2006-12-28",NA,"adult","RC","2010-12-28","2011-11-25","MigrationGroup1",NA,NA,"No",NA,NA
71,"Gene","Geneva",NA,"F",NA,"2011-01-13","2011-01-13",NA,"adult","NH","2011-01-13","2019-07-23","BirthGroup",NA,NA,NA,NA,"UNK birth date"
72,"Bry","Bryan",NA,"M",NA,"2011-01-16","2007-01-16",NA,"adult","LT","2011-01-16","2012-05-01","MigrationGroup1",NA,NA,NA,NA,"Only seen twice after Sept 2011"
73,"Gaga","Gagasa",NA,"F",NA,"2011-01-18","2011-01-18",NA,"adult","AK","2011-01-18","2016-03-03","BirthGroup",NA,NA,NA,"dead","Died in BGE/by poaching dog (see BGE/alarm forms)"
74,"Jaka","Jakarta",NA,"F",NA,"2011-01-18","2011-01-18",NA,"adult","NH","2011-01-18","2016-04-14","BirthGroup",NA,NA,NA,NA,"UNK birth date + Split group"
74,"Jaka","Jakarta",NA,"F",NA,"2011-01-18","2011-01-18",NA,"adult","Iceland","2016-04-14","2016-04-14","GroupSplit",NA,NA,NA,NA,"UNK birth date + Split group"
75,"Mamo","Mamoobi",NA,"F",NA,"2011-01-18","2011-01-18",NA,"adult","AK","2011-01-18","2019-04-30","BirthGroup",NA,NA,NA,"dead","Presumed dead, body not found, in logbook as seen on 09/05/19 but likely a mistake"
76,"Oku","Okucane","Dot","M",NA,"2011-01-18","2009-02-15",NA,"adult","BD","2013-02-19","2014-09-08","MigrationGroup1",NA,"Sanbonani",NA,NA,"Probably born in 2007"
76,"Oku","Okucane","Dot","M",NA,"2011-01-18","2009-02-15",NA,"adult","AK","2011-01-18","2013-02-15","BirthGroup",NA,"Sanbonani",NA,NA,"Probably born in 2007"
77,"Yaou","Yaounde",NA,"F",NA,"2011-01-18","2011-01-18",NA,"adult","NH","2011-01-18","2015-02-20","BirthGroup",NA,NA,NA,"dead","UNK birth date + dead"
78,"Quee","Queen",NA,"F",NA,"2011-01-19","2011-01-19",NA,"adult","RC","2011-01-19","2011-01-19","BirthGroup",NA,NA,"No",NA,"Probably born between 2005-2006"
79,"Wil","William",NA,"M",NA,"2011-01-19","2007-01-19",NA,"adult","LT","2011-01-19","2012-02-14","MigrationGroup1",NA,NA,NA,NA,"Seen once on 2012/05/17 in LT after official departure date"
80,"Jam","James",NA,"M",NA,"2011-01-28","2007-01-28",NA,"adult","LT","2011-01-28","2012-06-08","MigrationGroup1",NA,NA,NA,NA,NA
81,"Lizz","Lizz",NA,"F",NA,"2011-01-28","2011-01-28",NA,"adult","LT","2011-01-28","2023-11-16","BirthGroup",NA,NA,NA,NA,NA
82,"Asis","Asis",NA,"F",NA,"2011-02-19","2011-02-19",NA,"adult","BD","2011-02-19","2023-03-27","BirthGroup",NA,NA,NA,NA,NA
83,"Dian","Diana",NA,"F",NA,"2011-02-19","2011-02-19",NA,"adult","LT","2011-02-19","2023-11-16","BirthGroup",NA,NA,NA,NA,NA
84,"Vene","Venezia",NA,"F",NA,"2011-02-19","2011-02-19",NA,"adult","NH","2011-02-19","2010-10-31","BirthGroup",NA,NA,NA,NA,NA
85,"Bogo","Bogota",NA,"F",NA,"2011-03-05","2011-03-05",NA,"adult","NH","2011-03-05","2016-04-13","BirthGroup",NA,NA,NA,NA,"UNK birth date + Split group"
85,"Bogo","Bogota",NA,"F",NA,"2011-03-05","2011-03-05",NA,"adult","Iceland","2016-04-13","2016-07-12","GroupSplit",NA,NA,NA,NA,"UNK birth date + Split group"
86,"Laus","Lausanne",NA,"F",NA,"2011-03-05","2011-03-05",NA,"adult","NH","2011-03-05","2014-01-21","BirthGroup",NA,NA,NA,NA,"Last seen during BGE, by BD observers"
87,NA,"Little Blind","JL","F",NA,"2011-03-24","2011-03-24",NA,"adult","BD","2011-03-24","2021-03-12","BirthGroup",NA,NA,NA,"dead","Born in 2009, last seen in BD on 12/03/2021, presumed dead."
88,"Dagg","Dagga",NA,"F",NA,"2011-04-07","2011-04-07",NA,"adult","BD","2011-04-07","2012-11-29","BirthGroup",NA,NA,NA,"dead","Formed new group IB. Found dead 23/12/2013"
88,"Dagg","Dagga",NA,"F",NA,"2011-04-07","2011-04-07",NA,"adult","InBetweeners","2012-11-29","2013-12-23","GroupSplit",NA,NA,NA,"dead","Formed new group IB. Found dead 23/12/2013"
89,"Don","Donsig",NA,"M",NA,"2011-04-07","2011-04-07",NA,"adult","LT","2015-04-03","2018-11-16","MigrationGroup1","Dagga","Pik",NA,NA,"Probably born in 2009, seen twice in LT in March 2019"
89,"Don","Donsig",NA,"M",NA,"2011-04-07","2011-04-07",NA,"adult","BD","2011-04-07","2015-01-15","BirthGroup","Dagga","Pik",NA,NA,"Probably born in 2009, seen twice in LT in March 2019"
90,"Enge","Engel","Chouchou;JC","F",NA,"2011-04-07","2011-04-07",NA,"adult","BD","2011-04-07","2023-11-16","BirthGroup",NA,NA,NA,NA,"Born in 2009"
91,"Ert","Ertjies","JA;Smallballs","M",NA,"2011-04-07","2008-04-26",NA,"adult","NH","2012-04-26","2015-12-11","MigrationGroup1",NA,NA,NA,NA,NA
91,"Ert","Ertjies","JA;Smallballs","M",NA,"2011-04-07","2008-04-26",NA,"adult","BD","2011-04-07","2012-04-26","BirthGroup",NA,NA,NA,NA,NA
92,"Gro","Grote","JI;Bigballs","M",NA,"2011-04-07","2008-03-21",NA,"adult","NH","2012-05-01","2013-01-25","MigrationGroup1",NA,NA,NA,NA,NA
92,"Gro","Grote","JI;Bigballs","M",NA,"2011-04-07","2008-03-21",NA,"adult","BD","2011-04-07","2012-03-21","BirthGroup",NA,NA,NA,NA,NA
93,"Namn","Nam nam",NA,"F",NA,"2011-04-07","2011-04-07",NA,"adult","BD","2011-04-07","2013-08-22","BirthGroup","Numbies","Pik",NA,"dead","Born in 2009, likely died from miscarriage 2 weeks earlier"
94,"Gese","Gesels","Little boks;JG","F",NA,"2011-04-12","2011-04-12",NA,"adult","BD","2011-04-12","2023-11-16","BirthGroup",NA,NA,NA,NA,"Born in 2009"
95,"Snor","Snortjie",NA,"F",NA,"2011-04-19","2011-04-19",NA,"adult","BD","2011-04-19","2019-11-07","BirthGroup",NA,NA,NA,"dead","Disappeared during big draughts. Probably dead. Collar or carcas never found."
96,"Bin","Bingo","JM","M",NA,"2011-04-25","2011-04-25",NA,"adult","BD","2011-04-25","2015-01-15","BirthGroup",NA,NA,"No",NA,"Probably born in 2009 - confused with another AK male  - kommunis big mess but not the same monkey - write here whether other form data has been affected"
97,"Riss","Rissiepit",NA,"F",NA,"2011-04-26","2011-04-26",NA,"adult","BD","2011-04-26","2023-11-16","BirthGroup",NA,NA,NA,NA,"Born 2006"
98,"Tipi","Tipies",NA,"F",NA,"2011-04-26","2011-04-26",NA,"adult","BD","2011-04-26","2012-11-13","BirthGroup",NA,NA,NA,NA,"Born 2007. Formed new group Inbetweeners"
98,"Tipi","Tipies",NA,"F",NA,"2011-04-26","2011-04-26",NA,"adult","InBetweeners","2012-11-13","2013-01-31","GroupSplit",NA,NA,NA,NA,"Born 2007. Formed new group Inbetweeners"
99,"Vrou","Vroutjie",NA,"F",NA,"2011-04-26","2011-04-26",NA,"adult","BD","2011-04-26","2014-01-05","BirthGroup",NA,NA,NA,NA,"Formed IN with Wiet, Bemi"
99,"Vrou","Vroutjie",NA,"F",NA,"2011-04-26","2011-04-26",NA,"adult","Intaka","2014-01-05","2016-06-15","GroupSplit",NA,NA,NA,NA,"Formed IN with Wiet, Bemi"
100,"Wiet","Wietnie",NA,"F",NA,"2011-05-09","2011-05-09",NA,"adult","BD","2011-05-09","2014-01-05","BirthGroup",NA,NA,NA,NA,"Formed IN with Bemi, Vrou"
100,"Wiet","Wietnie",NA,"F",NA,"2011-05-09","2011-05-09",NA,"adult","Intaka","2014-01-05","2016-06-15","GroupSplit",NA,NA,NA,NA,"Formed IN with Bemi, Vrou"
