"AnimalName","AnimalCode","DOB","FirstDate","DOB_estimate","Age_yr","Age_class"
"Mini MJ",NA,NA,2010-12-13,"2010-12-13",NA,"adult"
"Pink","Pink",NA,2010-12-13,"2010-12-13",NA,"adult"
"Radja","Rad",NA,2010-12-13,"2007-11-25",NA,"adult"
"Skin","Skin",NA,2010-12-13,"2010-12-13",NA,"adult"
"Istanbul","Ist",NA,2010-12-15,"2008-01-09",NA,"adult"
"Quito","Qui",NA,2010-12-15,"2007-11-19",NA,"adult"
"Guns and Roses","Gun",NA,2010-12-18,"2006-12-18",NA,"adult"
"Hamba","Hamb",NA,2010-12-18,"2010-12-18",NA,"adult"
"Isilonda","Isil",NA,2010-12-18,"2010-12-18",NA,"adult"
"SMA","SMA",NA,2010-12-18,NA,NA,NA
"Ulaka","Ulak",NA,2010-12-18,"2010-12-18",NA,"adult"
"Elvis Presley","Elv",NA,2010-12-24,"2006-12-24",NA,"adult"
"Gino","Gin",NA,2010-12-24,"2007-11-25",NA,"adult"
"Jimmy Hendricks","Jim",NA,2010-12-24,"2006-12-24",NA,"adult"
"Karen Zoid","Kare",NA,2010-12-24,"2010-12-24",NA,"adult"
"Oom","Oom",NA,2010-12-24,"2006-12-24",NA,"adult"
"Pat Lansky","Pat",NA,2010-12-28,"2006-12-28",NA,"adult"
"Geneva","Gene",NA,2011-01-13,"2011-01-13",NA,"adult"
"Bryan","Bry",NA,2011-01-16,"2007-01-16",NA,"adult"
"Gagasa","Gaga",NA,2011-01-18,"2011-01-18",NA,"adult"
"Jakarta","Jaka",NA,2011-01-18,"2011-01-18",NA,"adult"
"Mamoobi","Mamo",NA,2011-01-18,"2011-01-18",NA,"adult"
"Okucane","Oku",NA,2011-01-18,"2009-02-15",NA,"adult"
"Yaounde","Yaou",NA,2011-01-18,"2011-01-18",NA,"adult"
"Queen","Quee",NA,2011-01-19,"2011-01-19",NA,"adult"
"William","Wil",NA,2011-01-19,"2007-01-19",NA,"adult"
"James","Jam",NA,2011-01-28,"2007-01-28",NA,"adult"
"Lizz","Lizz",NA,2011-01-28,"2011-01-28",NA,"adult"
"Asis","Asis",NA,2011-02-19,"2011-02-19",NA,"adult"
"Diana","Dian",NA,2011-02-19,"2011-02-19",NA,"adult"
"Venezia","Vene",NA,2011-02-19,"2011-02-19",NA,"adult"
"Bogota","Bogo",NA,2011-03-05,"2011-03-05",NA,"adult"
"Lausanne","Laus",NA,2011-03-05,"2011-03-05",NA,"adult"
"Little Blind",NA,NA,2011-03-24,"2011-03-24",NA,"adult"
"Dagga","Dagg",NA,2011-04-07,"2011-04-07",NA,"adult"
"Donsig","Don",NA,2011-04-07,"2011-04-07",NA,"adult"
"Engel","Enge",NA,2011-04-07,"2011-04-07",NA,"adult"
"Ertjies","Ert",NA,2011-04-07,"2008-04-26",NA,"adult"
"Grote","Gro",NA,2011-04-07,"2008-03-21",NA,"adult"
"Nam nam","Namn",NA,2011-04-07,"2011-04-07",NA,"adult"
"Gesels","Gese",NA,2011-04-12,"2011-04-12",NA,"adult"
"Snortjie","Snor",NA,2011-04-19,"2011-04-19",NA,"adult"
"Bingo","Bin",NA,2011-04-25,"2011-04-25",NA,"adult"
"Rissiepit","Riss",NA,2011-04-26,"2011-04-26",NA,"adult"
"Tipies","Tipi",NA,2011-04-26,"2011-04-26",NA,"adult"
"Vroutjie","Vrou",NA,2011-04-26,"2011-04-26",NA,"adult"
"Wietnie","Wiet",NA,2011-05-09,"2011-05-09",NA,"adult"
"Hamlet","Ham",NA,2011-05-14,"2009-05-07",NA,"adult"
"Suzy","Suzy",NA,2011-06-01,"2011-06-01",NA,"adult"
"Rusk","Rus",NA,2011-06-04,"2007-06-04",NA,"adult"
"Elton","Elt",NA,2011-06-09,"2008-02-04",NA,"adult"
"Harry","Har",NA,2011-06-09,"2007-06-09",NA,"adult"
"Tunis","Tun",NA,2011-06-25,"2007-11-26",NA,"adult"
"Newton","New",NA,2011-07-09,"2007-07-09",NA,"adult"
"Jackie","Jac",NA,2011-08-03,"2010-06-20",NA,"adult"
"Merlin","Mer",NA,2011-08-03,"2011-08-03",NA,"adult"
"Mousse","Mou",NA,2011-08-03,"2010-06-03",NA,"adult"
"Theodore","The",NA,2011-08-09,"2007-08-09",NA,"adult"
"Hwahwaza","Hwa",2011-09-16,2011-09-16,"2011-09-16",12.17,"adult"
"Amy Winehouse","Amyw",NA,2011-09-29,"2011-09-29",NA,"adult"
"Bruce Springsteen","Bru",NA,2011-09-29,"2007-09-29",NA,"adult"
"SF1",NA,NA,2011-09-29,"2011-09-29",NA,"adult"
"Spotted","Spo",NA,2011-09-29,"2007-11-25",NA,"adult"
"Vasco Rossi","Vas",NA,2011-09-29,"2007-09-29",NA,"adult"
"Vincent","Vin",NA,2011-10-01,"2011-10-01",NA,"adult"
"Giya","Giy",2011-10-07,2011-10-07,"2011-10-07",12.11,"adult"
"Spook","Spo",NA,2011-10-18,"2011-10-18",NA,"adult"
"Cindy Lauper","Cind",NA,2011-10-26,"2011-10-26",NA,"adult"
"Noktober","Nok",2011-10-26,2011-10-26,"2011-10-26",12.06,"adult"
"Lome","Lom",2011-10-27,2011-10-27,"2011-10-27",12.05,"adult"
"Upside down",NA,NA,2011-10-28,"2007-10-31",NA,"adult"
"Modjadji","Modj",2011-10-31,2011-10-31,"2011-10-31",12.04,"adult"
"Bamako","Bam",2011-11-01,2011-11-01,"2011-11-01",12.04,"adult"
"Evanescence","Evan",NA,2011-11-01,"2011-11-01",NA,"adult"
"Ogies","Ogi",2011-11-02,2011-11-02,"2011-11-02",12.04,"adult"
"Arthur","Art",NA,2011-11-03,"2007-11-03",NA,"adult"
"Nil","Nil",NA,2011-11-05,"2007-11-05",NA,"adult"
"Akkedis","Akk",2011-11-07,2011-11-07,"2011-11-07",12.02,"adult"
"Idwala","Idwa",2011-11-10,2011-11-10,"2011-11-10",12.02,"adult"
"Poeding","Poe",2011-11-11,2011-11-11,"2011-11-11",12.01,"adult"
"Gaya","Gaya",2011-11-14,2011-11-14,"2011-11-14",12.01,"adult"
"Vakie","Vak",2011-11-17,2011-11-17,"2011-11-17",12,"adult"
"Juneau","Jun",2011-11-20,2011-11-20,"2011-11-20",11.99,"adult"
"Byron","Byr",NA,2011-11-21,"2009-10-22",NA,"adult"
"Charles","Cha",NA,2011-11-21,"2009-12-09",NA,"adult"
"Reva","Reva",2011-11-21,2011-11-21,"2011-11-21",11.99,"adult"
"Ububhibhi","Ubu",2011-11-21,2011-11-21,"2011-11-21",11.99,"adult"
"Baby Hak 2011","BHak11",2011-11-22,2011-11-22,"2011-11-22",11.98,"adult"
"Ngubu","Ngu",2011-11-26,2011-11-26,"2011-11-26",11.97,"adult"
"Xeres","Xer",2011-11-29,2011-11-29,"2011-11-29",11.96,"adult"
"Ulundi","Ulu",2011-12-01,2011-12-01,"2011-12-01",11.96,"adult"
"Zion","Zio",2011-12-02,2011-12-02,"2011-12-02",11.96,"adult"
"Talinn","Tal",2011-12-04,2011-12-04,"2011-12-04",11.95,"adult"
"Rooikat","Roo",2011-12-05,2011-12-05,"2011-12-05",11.95,"adult"
"Koninging","Koni",NA,2011-12-09,"2011-12-09",NA,"adult"
"Watnou","Watn",NA,2011-12-09,"2011-12-09",NA,"adult"
"Brasilia","Bras",NA,2011-12-16,"2011-12-16",NA,"adult"
"Emma","Emma",NA,2011-12-16,"2011-12-16",NA,"adult"
"Lhassa","Lhas",NA,2011-12-16,"2011-12-16",NA,"adult"
"Neuchatel","Neu",NA,2011-12-16,"2010-05-08",NA,"adult"
"Pretoria","Pret",NA,2011-12-16,"2011-12-16",NA,"adult"
"Rio","Rio",NA,2011-12-16,"2011-12-16",NA,"adult"
"Toronto","Tor",NA,2011-12-16,"2010-06-11",NA,"adult"
"Victoria","Vict",NA,2011-12-16,"2011-12-16",NA,"adult"
"Zeerust","Zee",NA,2011-12-16,"2011-12-16",NA,"adult"
"Zurich","Zur",NA,2011-12-16,"2010-05-26",NA,"adult"
"Puerto","Pue",2011-12-27,2011-12-27,"2011-12-27",11.89,"adult"
"Baby Moo 2011","BMoo11",2012-01-23,2012-01-23,"2012-01-23",11.81,"adult"
"Bongani","Bon",NA,2012-01-28,"2008-01-28",NA,"adult"
"Ghangaan","Ghan",NA,2012-01-28,"2012-01-28",NA,"adult"
"Govu","Gov",NA,2012-01-28,"2009-12-19",NA,"adult"
"Hleka","Hlek",NA,2012-01-28,"2012-01-28",NA,"adult"
"Inhlanhla","Inhl",NA,2012-01-28,"2012-01-28",NA,"adult"
"Izulu","Izu",NA,2012-01-28,"2009-03-23",NA,"adult"
"Mnandi","Mna",NA,2012-01-28,"2011-01-14",NA,"adult"
"Voldemort","Vol",NA,2012-02-03,"2008-02-03",NA,"adult"
"Ahekinkinga","Ahe",NA,2010-12-18,"2006-12-18",NA,"adult"
"Auckland","Auc",NA,2012-02-27,"2008-02-27",NA,"adult"
"Amazon","Amaz",NA,2012-03-13,"2012-03-13",NA,"adult"
"Tanganika","Tang",NA,2012-03-13,"2012-03-13",NA,"adult"
"Curaco","Cur",NA,2012-04-14,"2008-04-14",NA,"adult"
"Styx","Sty",NA,2012-04-14,"2010-05-12",NA,"adult"
"Nala","Nala",NA,2012-04-18,"2012-04-18",NA,"adult"
"Tweed","Twe",NA,2012-04-20,"2010-05-10",NA,"adult"
"Chernobyl","Che",NA,2012-04-28,"2008-04-28",NA,"adult"
"Amur","Amur",NA,2012-05-09,"2012-05-09",NA,"adult"
"Medjerda","Med",NA,2012-05-09,"2008-05-09",NA,"adult"
"Pikito","Pik",NA,2012-05-09,"2010-01-28",NA,"adult"
"Zambezi","Zam",NA,2012-05-09,"2012-05-09",NA,"adult"
"Gelosi","Gel",NA,2012-05-14,"2008-06-01",NA,"adult"
"Heleza","Hele",NA,2012-05-14,"2012-05-14",NA,"adult"
"Mpukuvane","Mpu",NA,2012-05-14,"2009-05-16",NA,"adult"
"Danube","Dan",NA,2012-05-25,"2008-05-25",NA,"adult"
"Shakespeare","Sha",NA,2012-06-08,"2008-06-08",NA,"adult"
"Edward","Edw",NA,2012-06-12,"2008-06-12",NA,"adult"
"Tugela","Tug",NA,2012-07-03,"2012-07-03",NA,"adult"
"Darwin","Dar",NA,2012-07-31,"2012-07-31",NA,"adult"
"Nessie","Ness",NA,2012-08-01,"2012-08-01",NA,"adult"
"Uvac","Uva",NA,2012-08-01,"2008-08-01",NA,"adult"
"Selenge","Sel",NA,2012-08-10,"2008-08-10",NA,"adult"
"Double Spot","Dou",NA,2012-08-13,"2010-05-10",NA,"adult"
"Zeia","Zeia",NA,2012-08-31,"2012-08-31",NA,"adult"
"Hola","Hol",2012-09-11,2012-09-11,"2012-09-11",11.18,"adult"
"Lennon","Len",2012-09-19,2012-09-19,"2012-09-19",11.16,"adult"
"Yoogali","Yoog",2012-09-22,2012-09-22,"2012-09-22",11.15,"adult"
"Valerie","Vale",2012-09-24,2012-09-24,"2012-09-24",11.14,"adult"
"Baby Dag 2012","BDag12",2012-09-25,2012-09-25,"2012-09-25",11.14,"adult"
"Baby Cam 2012","BCam12",2012-09-29,2012-09-29,"2012-09-29",11.13,"adult"
"Geleza","Gele",2012-09-29,2012-09-29,"2012-09-29",11.13,"adult"
"Bullebak","Bul",2012-10-01,2012-10-01,"2012-10-01",11.12,"adult"
"Nurks","Nurk",2012-10-01,2012-10-01,"2012-10-01",11.12,"adult"
"Siele","Siel",2012-10-01,2012-10-01,"2012-10-01",11.12,"adult"
"Baby Emm 2012","BEmm12",2012-10-08,2012-10-08,"2012-10-08",11.1,"adult"
"Delilah","Deli",2012-10-08,2012-10-08,"2012-10-08",11.1,"adult"
"Baby Tip 2012","BTip12",2012-10-09,2012-10-09,"2012-10-09",11.1,"adult"
"Ijinja","Iji",2012-10-09,2012-10-09,"2012-10-09",11.1,"adult"
"Garoua","Gar",2012-10-11,2012-10-11,"2012-10-11",11.1,"adult"
"Tirroan","Tir",2012-10-11,2012-10-11,"2012-10-11",11.1,"adult"
"Heyi","Hey",2012-10-15,2012-10-15,"2012-10-15",11.09,"adult"
"Jillin","Jill",2012-10-15,2012-10-15,"2012-10-15",11.09,"adult"
"Mungunya","Mun",2012-10-15,2012-10-15,"2012-10-15",11.09,"adult"
"Baby Bog 2012","BBog12",2012-10-18,2012-10-18,"2012-10-18",11.08,"adult"
"Wurm","Wur",2012-10-18,2012-10-18,"2012-10-18",11.08,"adult"
"Baby Upp 2012","BUpp12",2012-10-19,2012-10-19,"2012-10-19",11.07,"adult"
"Onbeskof","Onb",2012-10-19,2012-10-19,"2012-10-19",11.07,"adult"
"Hippie","Hipp",2012-10-22,2012-10-22,"2012-10-22",11.07,"adult"
"Nyoni","Nyo",2012-10-22,2012-10-22,"2012-10-22",11.07,"adult"
"Unwabo","Unw",2012-10-22,2012-10-22,"2012-10-22",11.07,"adult"
"Alsiende","Alsi",2012-10-23,2012-10-23,"2012-10-23",11.06,"adult"
"Rheban","Rhe",2012-10-27,2012-10-27,"2012-10-27",11.05,"adult"
"Baby Lau 2012","BLau12",2012-10-29,2012-10-29,"2012-10-29",11.05,"adult"
"Mevrou","Mevr",2012-10-29,2012-10-29,"2012-10-29",11.05,"adult"
"Baby Kai 2012","BKai12",1905-07-02,2012-11-01,"1905-07-02",118.37,"adult"
"Ndonsa","Ndon",NA,2012-11-02,"2012-11-02",NA,"adult"
"Zhengzhou","Zhe",2012-11-02,2012-11-02,"2012-11-02",11.04,"adult"
"Ghozololo","Gho",2012-11-05,2012-11-05,"2012-11-05",11.03,"adult"
"Xian","Xian",2012-11-05,2012-11-05,"2012-11-05",11.03,"adult"
"Ruby","Ruby",NA,2012-11-08,"2012-11-08",NA,"adult"
"Laurel","Laur",NA,2012-11-12,"2012-11-12",NA,"adult"
"Vulkaan","Vul",2012-11-14,2012-11-14,"2012-11-14",11,"adult"
"Bushy","Bush",NA,2012-11-15,"2012-11-15",NA,"adult"
"India","Indi",NA,2012-11-15,"2012-11-15",NA,"adult"
"Rakker","Rak",2012-11-16,2012-11-16,"2012-11-16",11,"adult"
"Hlokoloza","Hlo",2012-12-23,2012-12-23,"2012-12-23",10.9,"adult"
"Pieperig","Piep",NA,2013-01-18,"2013-01-18",NA,"adult"
"Yenissei","Yeni",NA,2013-01-28,"2013-01-28",NA,"adult"
"Kaya","Kaya",2013-02-07,2013-02-07,"2013-02-07",10.77,"adult"
"Aare","Aare",NA,2013-02-08,"2013-02-08",NA,"adult"
"Little Z",NA,NA,2013-02-08,"2009-09-20",NA,"adult"
"Zaire","Zair",NA,2013-02-08,"2013-02-08",NA,"adult"
"Andrew","And",NA,2013-02-09,"2010-04-12",NA,"adult"
"Noah","Noa",NA,2013-02-09,"2013-02-09",NA,"adult"
"Yalu","Yalu",NA,2013-02-09,"2013-02-09",NA,"adult"
"Pearl","Pear",NA,2013-04-24,"2013-04-24",NA,"adult"
"Mara","Mara",NA,2013-05-06,"2013-05-06",NA,"adult"
"Fudu","Fud",NA,2013-06-11,"2009-06-11",NA,"adult"
"Cancun","Can",NA,2013-06-28,"2009-06-28",NA,"adult"
"Baby Ham 2013","BHam13",2013-10-03,2013-10-03,"2013-10-03",10.12,"adult"
"Baby Beminde 2013","BBem13",2013-10-22,2013-10-22,"2013-10-22",10.07,"adult"
"Baby Gaga 2013","BGag13",2013-10-24,2013-10-24,"2013-10-24",10.06,"adult"
"Boston","Bos",2013-10-28,2013-10-28,"2013-10-28",10.05,"adult"
"Jixi","Jix",2013-10-31,2013-10-31,"2013-10-31",10.04,"adult"
"Uji","Uji",2013-10-31,2013-10-31,"2013-10-31",10.04,"adult"
"Ilonga","Ilon",2013-11-04,2013-11-04,"2013-11-04",10.03,"adult"
"Aapie","Aapi",2013-11-11,2013-11-11,"2013-11-11",10.01,"adult"
"Avon","Avo",2013-11-11,2013-11-11,"2013-11-11",10.01,"adult"
"Zankara","Zank",2013-11-11,2013-11-11,"2013-11-11",10.01,"adult"
"Baby Wietnie 2013","BWie13",2013-11-12,2013-11-12,"2013-11-12",10.01,"adult"
"Glastonbury","Gla",2013-11-12,2013-11-12,"2013-11-12",10.01,"adult"
"Mbazwane","Mba",2013-11-15,2013-11-15,"2013-11-15",10,"adult"
"Rennes","Renn",2013-11-15,2013-11-15,"2013-11-15",10,"adult"
"Inkwazi","Inkw",2013-11-18,2013-11-18,"2013-11-18",9.99,"adult"
"Praia","Prai",2013-11-19,2013-11-19,"2013-11-19",9.99,"adult"
"Xalapa","Xala",2013-11-20,2013-11-20,"2013-11-20",9.99,"adult"
"Potjie","Potj",2013-11-23,2013-11-23,"2013-11-23",9.98,"adult"
"Zanzibar","Zan",2013-11-25,2013-11-25,"2013-11-25",9.97,"adult"
"Camilla","Cami",NA,2013-11-27,"2013-11-27",NA,"adult"
"Mississipi","Mis",2013-11-27,2013-11-27,"2013-11-27",9.97,"adult"
"Digby","Digb",NA,2014-01-08,"2014-01-08",NA,"adult"
"Yangtze","Yan",NA,2014-01-27,"2014-01-27",NA,"adult"
"Shitface","Shi",NA,2014-01-28,"2013-01-24",NA,"adult"
"Oliver","Oli",NA,2014-02-04,"2010-06-03",NA,"adult"
"Rose-Mary","Rose",NA,2014-02-11,"2014-02-11",NA,"adult"
"Moonie","Moon",NA,2014-02-28,"2014-02-28",NA,"adult"
"Jagerbomb","Jag",NA,2014-05-08,"2010-05-08",NA,"adult"
"DownLip","Dow",NA,2014-05-28,"2010-05-28",NA,"adult"
"Tere","Tere",NA,2014-05-30,"2014-05-30",NA,"adult"
"Lefty","Lef",NA,2014-05-31,"2013-01-16",NA,"adult"
"Umzali","Umz",NA,2014-06-09,"2010-06-09",NA,"adult"
"Dapper","Dap",NA,2014-07-01,"2010-07-01",NA,"adult"
"Adam","Ada",NA,2014-08-14,"2010-08-14",NA,"adult"
"Kenneth","Ken",NA,2014-08-15,"2011-11-18",NA,"adult"
"Liam","Lia",NA,2014-08-15,"2014-08-15",NA,"adult"
"Iggy","Igg",NA,2014-08-18,"2014-08-18",NA,"adult"
"Jenny","Jenn",NA,2011-11-16,"2011-11-16",NA,"adult"
"Daisy","Dais",NA,2014-08-26,"2014-08-26",NA,"adult"
"Joe","Joe",NA,2014-09-18,"2014-09-18",NA,"adult"
"Vance","Van",NA,2014-09-20,"2011-11-05",NA,"adult"
"Humusha","Hum",2014-09-22,2014-09-22,"2014-09-22",9.15,"adult"
"Zinkwazi","Zink",2014-10-01,2014-10-01,"2014-10-01",9.13,"adult"
"Madagascar","Mad",NA,2014-10-08,"2010-10-08",NA,"adult"
"Baby Yaou 2014","BYao14",2014-10-09,2014-10-09,"2014-10-09",9.1,"adult"
"Baby Suzy 2014","BSuz14",2014-10-11,2014-10-11,"2014-10-11",9.1,"adult"
"Arno","Arn",2014-10-17,2014-10-17,"2014-10-17",9.08,"adult"
"Baby Nala 2014","BNal14",2014-10-18,2014-10-18,"2014-10-18",9.08,"adult"
"Eina","Eina",2014-10-18,2014-10-18,"2014-10-18",9.08,"adult"
"Ginqinka","Ginq",2014-10-18,2014-10-18,"2014-10-18",9.08,"adult"
"Halfy","Hal",NA,2014-10-18,NA,NA,NA
"Hluhluwe","Hlu",2014-10-18,2014-10-18,"2014-10-18",9.08,"adult"
"Rupert","Rup",2014-10-18,2014-10-18,"2014-10-18",9.08,"adult"
"Baby Jenn 2014","BJen14",2014-10-20,2014-10-20,"2014-10-20",9.07,"adult"
"Gaaf","Gaa",2014-10-20,2014-10-20,"2014-10-20",9.07,"adult"
"Plesier","Ples",2014-10-20,2014-10-20,"2014-10-20",9.07,"adult"
"Mathimula","Mat",2014-10-21,2014-10-21,"2014-10-21",9.07,"adult"
"BabyTere (F10) 2014","BF1014",2014-10-22,2014-10-22,"2014-10-22",9.07,"adult"
"Baby Mielies 2014","BMie14",2014-10-27,2014-10-27,"2014-10-27",9.05,"adult"
"Jeddah","Jed",2014-10-27,2014-10-27,"2014-10-27",9.05,"adult"
"Meerkat","Mee",2014-10-27,2014-10-27,"2014-10-27",9.05,"adult"
"Baby Vict 2014","BVic14",2014-10-28,2014-10-28,"2014-10-28",9.05,"adult"
"Faroe","Far",2014-10-28,2014-10-28,"2014-10-28",9.05,"adult"
"Formentera","Form",NA,2014-10-28,"2014-10-28",NA,"adult"
"Kangaroo",NA,2014-10-28,2014-10-28,"2014-10-28",9.05,"adult"
"Krakatoa","Krak",NA,2014-10-28,"2014-10-28",NA,"adult"
"Lancey","Lanc",2014-10-29,2014-10-29,"2014-10-29",9.05,"adult"
"Roxanne","Roxa",NA,2014-10-30,"2014-10-30",NA,"adult"
"Toulouse","Tou",2014-10-30,2014-10-30,"2014-10-30",9.05,"adult"
"Ghida","Ghid",2014-10-31,2014-10-31,"2014-10-31",9.04,"adult"
"Heilweis","Hei",2014-10-31,2014-10-31,"2014-10-31",9.04,"adult"
"Nyanga","Nyan",2014-10-31,2014-10-31,"2014-10-31",9.04,"adult"
"Gubha","Gubh",2014-11-01,2014-11-01,"2014-11-01",9.04,"adult"
"Ndiza","Ndi",2014-11-01,2014-11-01,"2014-11-01",9.04,"adult"
"Baby Bushy 2014","BBus14",2014-11-03,2014-11-03,"2014-11-03",9.03,"adult"
"Baby Jink 2014","BJin14",2014-11-03,2014-11-03,"2014-11-03",9.03,"adult"
"Baby Pannekoekie 2014","BPan14",2014-11-03,2014-11-03,"2014-11-03",9.03,"adult"
"Ihlane","Ihl",2014-11-03,2014-11-03,"2014-11-03",9.03,"adult"
"Safari","Safa",2014-11-03,2014-11-03,"2014-11-03",9.03,"adult"
"Lima","Lima",2014-11-04,2014-11-04,"2014-11-04",9.03,"adult"
"Riyadh","Riy",2014-11-04,2014-11-04,"2014-11-04",9.03,"adult"
"Asseblief","Ass",2014-11-05,2014-11-05,"2014-11-05",9.03,"adult"
"Redelik","Rede",2014-11-10,2014-11-10,"2014-11-10",9.02,"adult"
"Baby Niese 2014","BNie14",2014-11-11,2014-11-11,"2014-11-11",9.01,"adult"
"Greenland",NA,2014-11-12,2014-11-12,"2014-11-12",9.01,"adult"
"Teddibeer","Ted",2014-11-12,2014-11-12,"2014-11-12",9.01,"adult"
"Xinyi","Xiny",2014-11-14,2014-11-14,"2014-11-14",9,"adult"
"Obelisk","Obe",2014-11-15,2014-11-15,"2014-11-15",9,"adult"
"Propriano","Pro",2014-11-19,2014-11-19,"2014-11-19",8.99,"adult"
"Thames","Tha",NA,2014-11-19,"2010-11-19",NA,"adult"
"Kyle","Kyl",2014-11-24,2014-11-24,"2014-11-24",8.98,"adult"
"Intaba","Int",2014-11-27,2014-11-27,"2014-11-27",8.97,"adult"
"Nooiens","Nooi",2014-11-28,2014-11-28,"2014-11-28",8.97,"adult"
"Bela-Bela","Bela",2014-11-29,2014-11-29,"2014-11-29",8.96,"adult"
"Granada","Gran",2014-12-08,2014-12-08,"2014-12-08",8.94,"adult"
"Umtata","Umt",2014-12-08,2014-12-08,"2014-12-08",8.94,"adult"
"Malawi","Mal",NA,2014-12-14,"2014-12-14",NA,"adult"
"Mercury","Mer",NA,2014-12-18,NA,NA,NA
"Cone","Con",NA,2014-12-30,"2011-07-22",NA,"adult"
"Curious",NA,NA,2014-12-30,"2011-11-06",NA,"adult"
"Ellesmere","Elle",NA,2014-12-30,"2014-12-30",NA,"adult"
"Iceland","Icel",NA,2014-12-30,"2014-12-30",NA,"adult"
"Japan","Jap",NA,2014-12-30,"2010-12-30",NA,"adult"
"Kergelen","Ker",NA,2014-12-30,"2010-12-30",NA,"adult"
"Pale","Pal",NA,2014-12-30,"2012-12-01",NA,"adult"
"Pizza","Piz",NA,2014-12-30,"2013-04-11",NA,"adult"
"Solomon","Sol",NA,2014-12-30,"2010-12-30",NA,"adult"
"Antarctica","Anta",NA,2014-12-31,"2014-12-31",NA,"adult"
