"NPACID","BatchID","BatchPosition","MSType","Name","Type","Std..Conc","Pred.RT","RT","Height","Area","IS.Height","IS.Area","Response","Primary.Flags","Conc_NonProcessed","Conc_Processed","X.Dev","X.Rec","Hormone","ProcessType","SN","NA_Replace","Peak_Editing","QuantificationCategory"
63,1,46,"Analyte","221012_Steroids_RBshary_PVuilloud_63","",NA,5.35,5.37,1037326,49302,232129,11893,4.14531,"bb",16.04602,16.04602,NA,NA,"E2","Low",NA,NA,"None","Q"
67,1,47,"Analyte","221012_Steroids_RBshary_PVuilloud_67","",NA,5.35,5.36,692102,37147,373788,18041,2.05909,"bb",7.91599,7.91599,NA,NA,"E2","Low",NA,NA,"None","Q"
68,1,48,"Analyte","221012_Steroids_RBshary_PVuilloud_68","",NA,5.35,5.35,72368,3674,280255,12709,0.28907,"bb",1.10897,1.10897,NA,NA,"E2","Low",2.21171672228402,NA,"None","ND"
69,1,49,"Analyte","221012_Steroids_RBshary_PVuilloud_69","",NA,5.35,5.36,987113,54949,256370,12806,4.29085,"bb",16.61764,16.61764,NA,NA,"E2","Low",NA,NA,"None","Q"
28,1,50,"Analyte","221012_Steroids_RBshary_PVuilloud_28","",NA,5.35,NA,NA,NA,1002964,49378,NA,"MM-",0.04241,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
29,1,51,"Analyte","221012_Steroids_RBshary_PVuilloud_29","",NA,5.35,NA,NA,NA,268090,15619,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
32,1,52,"Analyte","221012_Steroids_RBshary_PVuilloud_32","",NA,5.35,NA,NA,NA,847734,48285,NA,"MM-",0.01523,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
33,1,53,"Analyte","221012_Steroids_RBshary_PVuilloud_33","",NA,5.35,NA,NA,NA,1019934,49249,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
34,1,54,"Analyte","221012_Steroids_RBshary_PVuilloud_34","",NA,5.35,NA,NA,NA,779082,37774,NA,"MM-",0.1383,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
35,1,55,"Analyte","221012_Steroids_RBshary_PVuilloud_35","",NA,5.35,NA,NA,NA,850482,45644,NA,"MM-",0.14351,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
36,1,56,"Analyte","221012_Steroids_RBshary_PVuilloud_36","",NA,5.35,NA,NA,NA,781219,41640,NA,"MM-",0.01551,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
37,1,57,"Analyte","221012_Steroids_RBshary_PVuilloud_37","",NA,5.35,NA,NA,NA,974064,49413,NA,"MM-",0.06509,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
38,1,58,"Analyte","221012_Steroids_RBshary_PVuilloud_38","",NA,5.35,NA,NA,NA,1054196,49489,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
40,1,59,"Analyte","221012_Steroids_RBshary_PVuilloud_40","",NA,5.35,NA,NA,NA,1099978,53849,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
41,1,60,"Analyte","221012_Steroids_RBshary_PVuilloud_41","",NA,5.35,NA,NA,NA,869502,44314,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
42,1,61,"Analyte","221012_Steroids_RBshary_PVuilloud_42","",NA,5.35,5.36,104383,5010,1125602,56905,0.08805,"bb",0.34102,0.34102,NA,NA,"E2","Low",6.86809994189425,NA,"None","D"
46,1,63,"Analyte","221012_Steroids_RBshary_PVuilloud_46","",NA,5.35,NA,NA,NA,1110933,54941,NA,"MM-",0.01385,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
47,1,64,"Analyte","221012_Steroids_RBshary_PVuilloud_47","",NA,5.35,NA,NA,NA,1062354,52375,NA,"MM-",0.0141,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
48,1,65,"Analyte","221012_Steroids_RBshary_PVuilloud_48","",NA,5.35,5.37,3250790,167453,1016189,49013,3.41652,"bb",13.19247,13.19247,NA,NA,"E2","Low",NA,NA,"None","Q"
4,1,66,"Analyte","221012_Steroids_RBshary_PVuilloud_4","",NA,5.35,5.41,130762,5395,627326,34376,0.15694,"bb",0.60409,0.60409,NA,NA,"E2","Low",1.55185185185185,NA,"None","ND"
5,1,67,"Analyte","221012_Steroids_RBshary_PVuilloud_5","",NA,5.35,5.36,34284,1874,845047,43051,0.04353,"bb",0.1711,0.1711,NA,NA,"E2","Low",1.7884116993706,NA,"None","ND"
8,1,68,"Analyte","221012_Steroids_RBshary_PVuilloud_8","",NA,5.35,NA,NA,NA,1118378,54442,NA,"MM-",0.02698,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
9,1,69,"Analyte","221012_Steroids_RBshary_PVuilloud_9","",NA,5.35,5.36,51716,2600,1072253,55103,0.04719,"bb",0.18506,0.18506,NA,NA,"E2","Low",3.72753128555176,NA,"None","D"
10,1,70,"Analyte","221012_Steroids_RBshary_PVuilloud_10","",NA,5.35,NA,NA,NA,569243,29593,NA,"MM-",0.62147,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
11,1,71,"Analyte","221012_Steroids_RBshary_PVuilloud_11","",NA,5.35,NA,NA,NA,759253,36504,NA,"MM-",0.34934,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
12,1,72,"Analyte","221012_Steroids_RBshary_PVuilloud_12","",NA,5.35,NA,NA,NA,707686,36515,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
13,1,73,"Analyte","221012_Steroids_RBshary_PVuilloud_13","",NA,5.35,5.37,78978,4131,903350,46565,0.08872,"bb",0.34359,0.34359,NA,NA,"E2","Low",3.81727158948686,NA,"None","D"
14,1,74,"Analyte","221012_Steroids_RBshary_PVuilloud_14","",NA,5.35,5.36,34567,1730,740002,42439,0.04077,"bb",0.16054,0.16054,NA,NA,"E2","Low",2.75412844036697,NA,"None","ND"
16,1,75,"Analyte","221012_Steroids_RBshary_PVuilloud_16","",NA,5.35,NA,NA,NA,870523,46089,NA,"MM-",0.0298,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
17,1,76,"Analyte","221012_Steroids_RBshary_PVuilloud_17","",NA,5.35,NA,NA,NA,1070618,51790,NA,"MM-",0.09463,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
18,1,77,"Analyte","221012_Steroids_RBshary_PVuilloud_18","",NA,5.35,5.37,343924,17432,917054,48903,0.35646,"bb",1.36665,1.36665,NA,NA,"E2","Low",11.0571513177376,NA,"None","Q"
22,1,78,"Analyte","221012_Steroids_RBshary_PVuilloud_22","",NA,5.35,NA,NA,NA,1025972,52221,NA,"MM-",0.08283,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
23,1,80,"Analyte","221012_Steroids_RBshary_PVuilloud_23","",NA,5.35,NA,NA,NA,812503,38142,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
24,1,81,"Analyte","221012_Steroids_RBshary_PVuilloud_24","",NA,5.35,5.37,9366738,484308,744928,40511,11.9551,"bb",47.59873,47.59873,NA,NA,"E2","Low",NA,NA,"None","Q"
76,1,82,"Analyte","221012_Steroids_RBshary_PVuilloud_76","",NA,5.35,NA,NA,NA,230023,12010,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
77,1,83,"Analyte","221012_Steroids_RBshary_PVuilloud_77","",NA,5.35,NA,NA,NA,610358,31597,NA,"MM-",0.02584,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
80,1,84,"Analyte","221012_Steroids_RBshary_PVuilloud_80","",NA,5.35,NA,NA,NA,548047,27640,NA,"MM-",0.0134,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
81,1,85,"Analyte","221012_Steroids_RBshary_PVuilloud_81","",NA,5.35,NA,NA,NA,432244,23221,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
82,1,86,"Analyte","221012_Steroids_RBshary_PVuilloud_82","",NA,5.35,NA,NA,NA,491334,23765,NA,"MM-",0.01727,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
83,1,87,"Analyte","221012_Steroids_RBshary_PVuilloud_83","",NA,5.35,NA,NA,NA,327608,15319,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
84,1,88,"Analyte","221012_Steroids_RBshary_PVuilloud_84","",NA,5.35,NA,NA,NA,528061,26683,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
85,1,89,"Analyte","221012_Steroids_RBshary_PVuilloud_85","",NA,5.35,NA,NA,NA,423911,22236,NA,"MM-",0.01333,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
86,1,90,"Analyte","221012_Steroids_RBshary_PVuilloud_86","",NA,5.35,NA,NA,NA,469534,23343,NA,"MM-",0.01268,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
88,1,91,"Analyte","221012_Steroids_RBshary_PVuilloud_88","",NA,5.35,NA,NA,NA,550188,26283,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
89,1,92,"Analyte","221012_Steroids_RBshary_PVuilloud_89","",NA,5.35,NA,NA,NA,520169,26144,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
90,1,93,"Analyte","221012_Steroids_RBshary_PVuilloud_90","",NA,5.35,NA,NA,NA,592134,30294,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
94,1,94,"Analyte","221012_Steroids_RBshary_PVuilloud_94","",NA,5.35,5.36,50528,2441,443814,22646,0.1078,"bb",0.41642,0.41642,NA,NA,"E2","Low",4.24329268292683,NA,"None","D"
95,1,95,"Analyte","221012_Steroids_RBshary_PVuilloud_95","",NA,5.35,NA,NA,NA,334222,16701,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
96,1,97,"Analyte","221012_Steroids_RBshary_PVuilloud_96","",NA,5.35,5.36,415769,20864,377302,19008,1.09768,"bb",4.20854,4.20854,NA,NA,"E2","Low",NA,NA,"None","Q"
52,1,98,"Analyte","221012_Steroids_RBshary_PVuilloud_52","",NA,5.35,NA,NA,NA,368881,19997,NA,"MM-",0.01594,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
53,1,99,"Analyte","221012_Steroids_RBshary_PVuilloud_53","",NA,5.35,NA,NA,NA,345349,18260,NA,"MM-",0.07152,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
56,1,100,"Analyte","221012_Steroids_RBshary_PVuilloud_56","",NA,5.35,NA,NA,NA,325392,16533,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
57,1,101,"Analyte","221012_Steroids_RBshary_PVuilloud_57","",NA,5.35,NA,NA,NA,343549,21153,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
58,1,102,"Analyte","221012_Steroids_RBshary_PVuilloud_58","",NA,5.35,NA,NA,NA,288767,14975,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
59,1,103,"Analyte","221012_Steroids_RBshary_PVuilloud_59","",NA,5.35,NA,NA,NA,242863,11854,NA,"MM-",0.3606,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
60,1,104,"Analyte","221012_Steroids_RBshary_PVuilloud_60","",NA,5.35,5.29,147545,9243,299708,14959,0.61787,"bb",2.36728,2.36728,NA,NA,"E2","Low",NA,NA,"None","Q"
61,1,105,"Analyte","221012_Steroids_RBshary_PVuilloud_61","",NA,5.35,5.3,681336,31616,300881,15318,2.0639,"bd",7.9346,7.9346,NA,NA,"E2","Low",NA,NA,"None","Q"
62,1,106,"Analyte","221012_Steroids_RBshary_PVuilloud_62","",NA,5.35,NA,NA,NA,303151,14766,NA,"MM-",0.07029,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
64,1,107,"Analyte","221012_Steroids_RBshary_PVuilloud_64","",NA,5.35,NA,NA,NA,140142,7894,NA,"MM-",0.05607,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
65,1,108,"Analyte","221012_Steroids_RBshary_PVuilloud_65","",NA,5.35,NA,NA,NA,515160,24586,NA,"MM-",0.03974,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
66,1,109,"Analyte","221012_Steroids_RBshary_PVuilloud_66","",NA,5.35,NA,NA,NA,447030,23167,NA,"MM-",0.0542,0,NA,NA,"E2","Low",NA,0,"Removed","ND"
70,1,110,"Analyte","221012_Steroids_RBshary_PVuilloud_70","",NA,5.35,NA,NA,NA,324302,18245,NA,"",0,0,NA,NA,"E2","Low",NA,0,"None","ND"
71,1,111,"Analyte","221012_Steroids_RBshary_PVuilloud_71","",NA,5.35,5.29,281244,14292,176601,11258,1.26945,"bb",4.86914,4.86914,NA,NA,"E2","Low",NA,NA,"None","Q"
72,1,112,"Analyte","221012_Steroids_RBshary_PVuilloud_72","",NA,5.35,5.37,1082349,56215,253384,12750,4.40908,"bb",17.08241,17.08241,NA,NA,"E2","Low",NA,NA,"None","Q"
25,1,12,"Analyte","221012_Steroids_RBshary_PVuilloud_25","",NA,7.62,NA,NA,NA,2603941,131630,NA,"",0,0,NA,NA,"P4","Low",NA,0,"None","ND"
26,1,13,"Analyte","221012_Steroids_RBshary_PVuilloud_26","",NA,7.62,7.6,198190,9724,2689052,145863,0.06666,"bb",0.31124,0.31124,NA,NA,"P4","Low",NA,NA,"None","Q"
27,1,14,"Analyte","221012_Steroids_RBshary_PVuilloud_27","",NA,7.62,NA,NA,NA,2183857,113180,NA,"MM-",0.01102,0,NA,NA,"P4","Low",NA,0,"Removed","ND"
1,1,15,"Analyte","221012_Steroids_RBshary_PVuilloud_1","",NA,7.62,NA,NA,NA,2714255,142554,NA,"",0,0,NA,NA,"P4","Low",NA,0,"None","ND"
2,1,16,"Analyte","221012_Steroids_RBshary_PVuilloud_2","",NA,7.62,7.62,745813,34626,2789543,147444,0.23484,"bb",1.08603,1.08281,NA,NA,"P4","Low",NA,NA,"None","Q"
3,1,17,"Analyte","221012_Steroids_RBshary_PVuilloud_3","",NA,7.62,NA,NA,NA,2831281,145941,NA,"",0,0,NA,NA,"P4","Low",NA,0,"None","ND"
73,1,18,"Analyte","221012_Steroids_RBshary_PVuilloud_73","",NA,7.62,7.62,9723,775,2122750,110076,0.00704,"bb",0.03677,0.03793,NA,NA,"P4","Low",0.221008902077151,NA,"None","ND"
74,1,19,"Analyte","221012_Steroids_RBshary_PVuilloud_74","",NA,7.62,7.63,253738,12444,2148503,111654,0.11145,"bb",0.51749,0.51663,NA,NA,"P4","Low",NA,NA,"None","Q"
75,1,20,"Analyte","221012_Steroids_RBshary_PVuilloud_75","",NA,7.62,NA,NA,NA,1901820,100765,NA,"MM-",0.02183,0,NA,NA,"P4","Low",NA,0,"Removed","ND"
49,1,21,"Analyte","221012_Steroids_RBshary_PVuilloud_49","",NA,7.62,NA,NA,NA,1913967,101293,NA,"",0,0,NA,NA,"P4","Low",NA,0,"None","ND"
50,1,22,"Analyte","221012_Steroids_RBshary_PVuilloud_50","",NA,7.62,7.62,696959,33288,1735782,90712,0.36696,"bb",1.69528,1.68957,NA,NA,"P4","Low",NA,NA,"None","Q"
51,1,23,"Analyte","221012_Steroids_RBshary_PVuilloud_51","",NA,7.62,7.62,12325,785,1698631,89993,0.00872,"bb",0.04451,0.04563,NA,NA,"P4","Low",1.86972612879349,NA,"None","ND"
30,1,24,"Analyte","221012_Steroids_RBshary_PVuilloud_30","",NA,7.62,7.62,118434,5615,2706812,140649,0.03992,"bb",0.18812,0.18864,NA,NA,"P4","Low",11.6411181244364,NA,"None","Q"
31,1,25,"Analyte","221012_Steroids_RBshary_PVuilloud_31","",NA,7.62,7.62,60135,3119,2210312,117340,0.02658,"bb",0.1267,0.12748,NA,NA,"P4","Low",6.81219272369715,NA,"None","D"
39,1,26,"Analyte","221012_Steroids_RBshary_PVuilloud_39","",NA,7.62,7.62,72341,3543,2232728,116334,0.03046,"bb",0.14455,0.14525,NA,NA,"P4","Low",9.06968876860623,NA,"None","Q"
43,1,27,"Analyte","221012_Steroids_RBshary_PVuilloud_43","",NA,7.62,7.64,190793,9473,3064228,157184,0.06027,"bb",0.28179,0.28191,NA,NA,"P4","Low",NA,NA,"None","Q"
44,1,29,"Analyte","221012_Steroids_RBshary_PVuilloud_44","",NA,7.62,7.65,63556,3214,2554611,128319,0.02505,"bb",0.11964,0.12045,NA,NA,"P4","Low",11.4308502153453,NA,"None","Q"
45,1,30,"Analyte","221012_Steroids_RBshary_PVuilloud_45","",NA,7.62,7.64,105522,5250,2638492,133332,0.03938,"bb",0.18562,0.18615,NA,NA,"P4","Low",13.5036496350365,NA,"None","Q"
6,1,31,"Analyte","221012_Steroids_RBshary_PVuilloud_6","",NA,7.62,7.63,364937,16856,2361729,126072,0.1337,"db",0.61999,0.6187,NA,NA,"P4","Low",NA,NA,"None","Q"
7,1,32,"Analyte","221012_Steroids_RBshary_PVuilloud_7","",NA,7.62,7.64,162094,7961,2022666,102369,0.07777,"bb",0.36239,0.36218,NA,NA,"P4","Low",9.97202014549524,NA,"None","Q"
15,1,33,"Analyte","221012_Steroids_RBshary_PVuilloud_15","",NA,7.62,7.64,327541,15466,2821911,141009,0.10968,"db",0.50933,0.5085,NA,NA,"P4","Low",NA,NA,"None","Q"
19,1,34,"Analyte","221012_Steroids_RBshary_PVuilloud_19","",NA,7.62,7.63,601052,28062,2518035,130850,0.21446,"db",0.9921,0.98927,NA,NA,"P4","Low",NA,NA,"None","Q"
20,1,35,"Analyte","221012_Steroids_RBshary_PVuilloud_20","",NA,7.62,7.63,232464,11143,2572581,133297,0.0836,"bb",0.38921,0.38888,NA,NA,"P4","Low",NA,NA,"None","Q"
21,1,36,"Analyte","221012_Steroids_RBshary_PVuilloud_21","",NA,7.62,7.64,342031,16048,2429344,120156,0.13356,"bb",0.61933,0.61804,NA,NA,"P4","Low",NA,NA,"None","Q"
78,1,37,"Analyte","221012_Steroids_RBshary_PVuilloud_78","",NA,7.62,7.64,141063,6932,1954449,98794,0.07017,"bb",0.32737,0.3273,NA,NA,"P4","Low",12.1543408360129,NA,"None","Q"
79,1,38,"Analyte","221012_Steroids_RBshary_PVuilloud_79","",NA,7.62,7.63,78045,4169,2015784,102854,0.04053,"bb",0.19093,0.19143,NA,NA,"P4","Low",7.43297252289759,NA,"None","D"
87,1,39,"Analyte","221012_Steroids_RBshary_PVuilloud_87","",NA,7.62,7.64,70278,3748,1750667,89249,0.04199,"bb",0.19766,0.19814,NA,NA,"P4","Low",8.18416701116164,NA,"None","Q"
91,1,40,"Analyte","221012_Steroids_RBshary_PVuilloud_91","",NA,7.62,7.64,144195,7330,1827944,94095,0.0779,"bb",0.36301,0.36279,NA,NA,"P4","Low",NA,NA,"None","Q"
92,1,41,"Analyte","221012_Steroids_RBshary_PVuilloud_92","",NA,7.62,7.64,79986,4149,1999095,101466,0.04089,"bb",0.19257,0.19307,NA,NA,"P4","Low",7.4991610738255,NA,"None","D"
93,1,42,"Analyte","221012_Steroids_RBshary_PVuilloud_93","",NA,7.62,7.64,128777,6298,2003149,99940,0.06302,"bb",0.29447,0.29454,NA,NA,"P4","Low",10.8379013312451,NA,"None","Q"
54,1,43,"Analyte","221012_Steroids_RBshary_PVuilloud_54","",NA,7.62,7.64,203275,9774,953480,48013,0.20358,"bb",0.94193,0.9393,NA,NA,"P4","Low",NA,NA,"None","Q"
55,1,44,"Analyte","221012_Steroids_RBshary_PVuilloud_55","",NA,7.62,7.64,169363,8137,1371090,69360,0.11732,"bb",0.54451,0.54353,NA,NA,"P4","Low",NA,NA,"None","Q"
63,1,46,"Analyte","221012_Steroids_RBshary_PVuilloud_63","",NA,7.62,7.65,247941,11751,1463230,74505,0.15772,"bb",0.73062,0.72888,NA,NA,"P4","Low",NA,NA,"None","Q"
67,1,47,"Analyte","221012_Steroids_RBshary_PVuilloud_67","",NA,7.62,7.65,422965,20400,1510494,76884,0.26533,"db",1.22658,1.22278,NA,NA,"P4","Low",NA,NA,"None","Q"
68,1,48,"Analyte","221012_Steroids_RBshary_PVuilloud_68","",NA,7.62,7.63,201896,9693,1695871,86815,0.11165,"bb",0.51841,0.51754,NA,NA,"P4","Low",NA,NA,"None","Q"
69,1,49,"Analyte","221012_Steroids_RBshary_PVuilloud_69","",NA,7.62,7.63,258732,12628,1094705,56361,0.22405,"bb",1.03629,1.03327,NA,NA,"P4","Low",NA,NA,"None","Q"
28,1,50,"Analyte","221012_Steroids_RBshary_PVuilloud_28","",NA,7.62,NA,NA,NA,2397659,121524,NA,"MM-",0.01708,0,NA,NA,"P4","Low",NA,0,"Removed","ND"
29,1,51,"Analyte","221012_Steroids_RBshary_PVuilloud_29","",NA,7.62,NA,NA,NA,522918,27188,NA,"",0,0,NA,NA,"P4","Low",NA,0,"None","ND"
32,1,52,"Analyte","221012_Steroids_RBshary_PVuilloud_32","",NA,7.62,NA,NA,NA,2290487,118258,NA,"MM-",0.01291,0,NA,NA,"P4","Low",NA,0,"Removed","ND"
