"","AnimalID","Date","Time","Treatment","Gr","Nurse","IGE","TotalVol","Tubes","DataSource","SampleID","BoxID","BoxPosition","low.volume","notes"
"28","Bin/Kom","14/09/2018","14:43:00","Control","No","No","No","02-Mar",2,"FieldSeason2016-18.csv","608",1,28,"",""
"29","LBlind","03/08/2018","10:33:00","Control","No","No","No","01-Jun",1,"FieldSeason2016-18.csv","589",1,29,"",""
"30","Ubu","23/12/2018","09:49:00","Control","No","No","No","03-Mar",2,"FieldSeason2016-18.csv","572",1,30,"","make sure tube is saying 2018"
"31","Ubu","03/08/2018","15:57:00","Control","No","No","No","0.3",1,"FieldSeason2016-18.csv","591",1,31,"",""
"32","Rhe","27/11/2018","10:21:00","Control","No","No","No","0.5",1,"FieldSeason2016-18.csv","636",1,32,"",""
"33","Hipp","21/12/2018","05:53:00","nursing","No","Yes","No","01-Jan",1,"FieldSeason2018_nursing.csv","546",1,33,"",""
"34","Ubu","08/09/2018","08:46:00","Control","No","No","No","01-May",1,"FieldSeason2016-18.csv","602",1,34,"",""
"35","Fen","01/12/2018","12:18:00","Control","No","No","No","03-May",2,"FieldSeason2016-18.csv","640",1,35,"",""
"36","Boc","08/11/2018","05:40:00","Control","No","No","No","0.8",1,"FieldSeason2016-18.csv","623",1,36,"",""
"37","Vin","23/07/2018","14:06:00","Control","No","No","No","0.5",1,"FieldSeason2016-18.csv","582",1,37,"",""
"38","Boc","04/08/2018","10:47:00","Control","No","No","No","06-Jul",3,"FieldSeason2016-18.csv","592",1,38,"",""
"39","Ubu","04/08/2018","12:25:00","grooming","Yes",NA,"No","0.6",1,"FieldSeason2018_grooming.csv","334",1,39,"",""
"40","Bin/Kom","09/11/2018","09:49:00","Control","No","No","No","01-May",1,"FieldSeason2016-18.csv","629",1,40,"",""
"41","Boc","20/12/2018","04:49:00","Control","No","No","No","01-May",1,"FieldSeason2016-18.csv","649",1,41,"",""
"42","Ubu","06/11/2018","05:50:00","Control","No","No","No","0.45",1,"FieldSeason2016-18.csv","621",1,42,"",""
"43","Pal","14/12/2018","11:21:00","grooming","Yes",NA,"No","07-May",3,"FieldSeason2018_grooming.csv","363",1,43,"",""
"44","Boc","22/12/2018","10:51:00","Control","No","No","No","05-Jan",1,"FieldSeason2016-18.csv","653",1,44,"",""
"45","Bas","23/07/2018","16:02:00","Control","No","No","No","0.35",1,"FieldSeason2016-18.csv","584",1,45,"",""
"46","Ubu","02/11/2018","06:15:00","Control","No","No","No","02-Mar",2,"FieldSeason2016-18.csv","613",1,46,"",""
"47","Boc","22/12/2018","10:51:00","Control","No","No","No","05-Jan",1,"FieldSeason2016-18.csv","653",1,47,"",""
"48","Rhe","24/12/2018","11:04:00","Control","No","No","No","06-Jul",3,"FieldSeason2016-18.csv","654",1,48,"",""
"49","Van","14/12/2018","10:41:00","Control","No","No","No","03-Apr",2,"FieldSeason2016-18.csv","645",1,49,"",""
"50","Aapi","26/11/2018","07:26:00","Control","No","No","No","01-Jun",1,"FieldSeason2016-18.csv","634",1,50,"",""
"51","Nyo","19/07/2018","07:14:00","Control","No","No","No","04-Jun",2,"FieldSeason2016-18.csv","580",1,51,"","sleeping site"
"52","Rhe","24/12/2018","11:04:00","Control","No","No","No","06-Jul",3,"FieldSeason2016-18.csv","654",1,52,"",""
"53","LBlind","14/08/2018","08:44:00","Control","No","No","No","0.5",1,"FieldSeason2016-18.csv","596",1,53,"",""
"54","Ubu","02/11/2018","13:02:00","Control","No","No","No","5",2,"FieldSeason2016-18.csv","614",1,54,"",""
"55","Pal","23/12/2017","05:26:00","Control","No","No","No","03-Mar",1,"FieldSeason2016-18.csv","571",1,55,"",""
"56","Pann","23/08/2017","06:51:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","135",1,56,"",""
"57","Van","24/07/2018","08:50:00","Control","No","No","No","03-Mar",1,"FieldSeason2016-18.csv","586",1,56,"",""
"58","Potj","12/09/2018","10:00:00","Control","No","No","No","06-Jun",2,"FieldSeason2016-18.csv","607",1,57,"",""
"59","Nyo","01/08/2018","07:07:00","Control","No","No","No","5",2,"FieldSeason2016-18.csv","587",1,58,"",""
"60","Nyo","19/07/2018","07:14:00","Control","No","No","No","04-Jun",2,"FieldSeason2016-18.csv","580",1,59,"","sleeping site"
"61","Enge","18/07/2018","06:37:00","Control","No","No","No","0.9",1,"FieldSeason2016-18.csv","573",1,60,"",""
"62","Nyo","01/08/2018","07:07:00","Control","No","No","No","5",2,"FieldSeason2016-18.csv","587",1,61,"",""
"63","Hlo","23/07/2018","14:26:00","Control","No","No","No","06-Jun",2,"FieldSeason2016-18.csv","583",1,62,"",""
"64","Miel","04/08/2018","12:48:00","Control","No","No","No","01-Sep",1,"FieldSeason2016-18.csv","593",1,63,"",""
"65","Heer","21/12/2018","05:17:00","Control","No","No","No","06-Jul",3,"FieldSeason2016-18.csv","650",1,64,"",""
"66","Upps","19/08/2017","06:45:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","130",1,65,"","tube says 6:30 h"
"67","Unw","03/08/2017","06:47:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","106",1,66,"",""
"68","LBlind","18/11/2017","09:22:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","257",1,67,"",""
"69","Miel","08/12/2017","05:03:00","control","No","No","No","1",1,"FieldSeason2016-18.csv","304",1,68,"",""
"70","Pann","21/08/2017","08:04:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","132",1,69,"",""
"71","Hipp","18/10/2017","06:57:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","207",1,70,"",""
"72","Hlo","25/09/2017","06:40:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","180",1,71,"",""
"73","Pal","03/01/2019","13:01:00","IGE","Yes",NA,"Yes","03-Feb",1,"FieldSeason2018_IGE.csv","432",1,72,"",""
"74","Boc","27/11/2017","05:01:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","267",1,73,"",""
"75","Pal","28/11/2017","05:05:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","272",1,74,"",""
"76","Hwa","02/09/2017","06:34:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","144",1,75,"",""
"77","Neu","25/08/2017","06:17:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","138",1,76,"",""
"78","Gene","09/10/2017","05:26:00","control","No","No","No","03-Apr",1,"FieldSeason2016-18.csv","196",1,77,"",""
"79","Numb","29/08/2017","06:29:00","control","No","No","No","3",2,"FieldSeason2016-18.csv","141",1,78,"yes",""
"80","Neu","27/09/2017","09:09:00","control","No","No","No","0.5",1,"FieldSeason2016-18.csv","184",1,79,"",""
"81","Hwa","26/07/2017","16:32:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","92",1,80,"",""
"82","Unw","02/09/2017","07:54:00","control","No","No","No","01-Jan",1,"FieldSeason2016-18.csv","148",1,81,"",""
"83","Neu","04/10/2017","05:33:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","189",2,1,"",""
"84","Enge","27/11/2017","09:09:00","control","No","No","No","01-Apr",1,"FieldSeason2016-18.csv","271",2,2,"",""
"85","Ouli","18/09/2017","05:57:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","171",2,3,"",""
"86","Pal","05/08/2017","06:47:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","108",2,4,"",""
"87","Ouli","19/08/2017","06:36:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","129",2,5,"",""
"88","Gene","28/10/2017","07:35:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","209",2,6,"",""
"89","Hwa","17/08/2017","06:48:00","control","No","No","No","01-Mar",1,"FieldSeason2016-18.csv","125",2,7,"",""
"90","Hipp","27/07/2017","07:01:00","control","No","No","No","3",2,"FieldSeason2016-18.csv","94",2,8,"","check hour original file"
"91","Gaya","04/11/2017","05:20:00","control","No","No","No","02-Aug",1,"FieldSeason2016-18.csv","215",2,9,"",""
"92","Miel","29/07/2017","07:01:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","96",2,10,"","sleeping site"
"93","Neu","06/12/2017","16:42:00","control","No","No","No","01-Mar",1,"FieldSeason2016-18.csv","298",2,11,"",""
"94","Riss","08/12/2017","08:27:00","control & nursing","No","Yes","No","0.8",1,"FieldSeason2016-18.csv","305",2,12,"",""
"95","Miel","15/08/2017","06:31:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","121",2,13,"",""
"96","Nurk","05/12/2017","06:33:00","control & nursing","No","Yes","No","3",1,"FieldSeason2016-18.csv","289",2,14,"",""
"97","Miel","13/12/2017","05:24:00","control","No","No","No","0.8",1,"FieldSeason2016-18.csv","307",2,15,"",""
"98","Hwa","26/09/2017","06:24:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","182",2,16,"",""
"99","Pal","04/09/2017","06:19:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","149",2,17,"",""
"100","Siel","26/07/2017","15:40:00","control","No","No","No","0.2",1,"FieldSeason2016-18.csv","91",2,18,"",""
"101","Boc","12/10/2017","05:51:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","197",2,19,"",""
"102","Numb","09/09/2017","06:07:00","control","No","No","No","02-Jul",1,"FieldSeason2016-18.csv","158",2,20,"",""
"103","Nurk","28/11/2017","17:47:00","control & nursing","No","Yes","No","0.3",1,"FieldSeason2016-18.csv","276",2,21,"",""
"104","Pal","25/11/2017","05:51:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","265",2,22,"",""
"105","Nyo","29/07/2017","07:02:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","97",2,23,"","not sure enough volume, kept sample though"
"106","Bin","28/11/2017","05:55:00","control","No","No","No","02-May",1,"FieldSeason2016-18.csv","273",2,24,"",""
"107","Hlo","25/09/2017","06:40:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","180",2,25,"",""
"108","Nkos","07/08/2018","06:29:00","control","No","No","No","0.6",1,"AKcontrol2018.csv","2",2,26,"",""
"109","Xian","21/08/2017","06:38:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","131",2,27,"",""
"110","Hlo","30/12/2017","10:14:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","315",2,28,"","doubt enough volume"
"111","Ouli","17/11/2017","05:10:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","249",2,29,"",""
"112","Nyo","25/11/2017","06:44:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","266",2,30,"",""
"113","Pann","16/09/2017","06:10:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","167",2,31,"","not sure enough volume, kept sample though"
"114","Vin","11/12/2017","05:01:00","control","No","No","No","0.7",1,"FieldSeason2016-18.csv","306",2,32,"","not sure enough volume, kept sample though"
"115","Hwa","11/11/2017","05:01:00","control","No","No","No","01-Aug",1,"FieldSeason2016-18.csv","239",2,33,"",""
"116","Neu","06/09/2017","06:15:00","control","No","No","No","03-Feb",1,"FieldSeason2016-18.csv","152",2,34,"",""
"117","Hipp","23/12/2018","07:38:00","nursing + ?","No","Yes","No","0",1,"FieldSeason2018_nursing.csv","551",2,35,"",""
"118","LBlind","07/12/2017","05:36:00","control","No","No","No","01-Feb",1,"FieldSeason2016-18.csv","300",2,36,"","looks like just about enough vol"
"119","Boc","11/12/2017","05:45:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","308",2,37,"",""
"120","Gene","06/10/2017","06:06:00","control","No","No","No","03-Jun",2,"FieldSeason2016-18.csv","194",2,38,"","second tube as low volume sample"
"121","Boc","02/10/2017","06:02:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","187",2,39,"",""
"122","Pal","27/11/2017","08:48:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","270",2,40,"",""
"123","Numb","25/11/2017","04:51:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","264",2,41,"",""
"124","Gese","30/10/2017","05:13:00","control","No","No","No","3",2,"FieldSeason2016-18.csv","210",2,42,"",""
"125","Pal","11/08/2017","06:38:00","control","No","No","No","03-Jan",1,"FieldSeason2016-18.csv","118",2,43,"",""
"126","Hwa","26/09/2017","06:24:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","182",2,44,"",""
"127","LBlind","06/10/2017","05:44:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","193",2,45,"",""
"128","Ubu","23/08/2017","06:55:00","control","No","No","No","4",1,"FieldSeason2016-18.csv","136",2,46,"",""
"129","Boc","09/08/2017","06:47:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","113",2,47,"",""
"130","Nyo","10/11/2017","05:15:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","232",2,48,"",""
"131","Boc","02/10/2017","06:02:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","187",2,49,"",""
"132","Neu","17/10/2016","06:39:00","control","No","No","No","0.2",1,"FieldSeason2016-18.csv","18",2,50,"?","not sure enough vol, but kept sample labelled"
"133","Mvu","15/12/2016","11:04:00","control","No","No","No","0.9",1,"FieldSeason2016-18.csv","61",2,51,"",""
"134","LBlind","06/10/2017","05:44:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","193",2,52,"",""
"135","Miel","09/11/2017","10:48:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","231",2,53,"",""
"136","Ouli","19/08/2017","06:36:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","129",2,54,"",""
"137","Hipp","27/07/2017","07:01:00","control","No","No","No","3",2,"FieldSeason2016-18.csv","94",2,55,"",""
"138","Unw","04/11/2017","11:59:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","219",2,57,"",""
"139","Enge","17/08/2017","10:19:00","control","No","No","No","02-Apr",1,"FieldSeason2016-18.csv","127",2,58,"",""
"140","Siel","28/11/2017","06:24:00","control & nursing","No","Yes","No","0.4",1,"FieldSeason2016-18.csv","274",2,59,"?","looks very dirty + low vol, maybe better discard it"
"141","Numb","18/11/2017","05:06:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","252",2,60,"",""
"142","Miel","29/07/2017","07:01:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","96",2,61,"",""
"143","Upps","19/08/2017","06:45:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","130",2,62,"","tube says 6:30 h"
"144","Pann","21/08/2017","08:04:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","132",2,63,"",""
"145","Ouli","19/10/2017","05:44:00","control","No","No","No","0.4",1,"FieldSeason2016-18.csv","208",2,64,"?","maybe not enough vol"
"146","Numb","23/11/2017","06:39:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","259",2,65,"",""
"147","Mvu","07/12/2016","16:52:00","control","No","No","No","1",1,"FieldSeason2016-18.csv","54",2,66,"",""
"148","Xian","10/08/2017","10:55:00","control","No","No","No","1",1,"FieldSeason2016-18.csv","116",2,67,"?",""
"149","Miel","30/11/2017","07:05:00","control","No","No","No","0.7",1,"FieldSeason2016-18.csv","278",2,68,"?",""
"150","Ubu","04/11/2017","11:47:00","control","No","No","No","01-Mar",1,"FieldSeason2016-18.csv","218",2,69,"?",""
"151","Pal","26/01/2017","11:17:00","control","No","No","No","1",1,"FieldSeason2016-18.csv","72",2,70,"?",""
"152","Ouli","17/08/2017","09:19:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","128",2,71,"?",""
"153","Siel","02/08/2017","13:20:00","control","No","No","No","0.4",1,"FieldSeason2016-18.csv","104",2,72,"?","dirty and dense"
"154","Siel","16/02/2017","08:20:00","control","No","No","No","0.5",1,"FieldSeason2016-18.csv","78",2,73,"?","possibly low vol"
"155","Hipp","10/01/2018","05:20:00","control","No","No","No","01-Jul",1,"FieldSeason2016-18.csv","319",2,74,"",""
"156","Pal","12/12/2017","07:02:00","control","No","No","No","0.5",1,"FieldSeason2016-18.csv","311",2,75,"",""
"157","Ubu","06/12/2017","10:12:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","296",2,76,"",""
"158","Pal","02/12/2017","05:07:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","283",2,77,"",""
"159","Potj","07/11/2017","05:01:00","control & nursing","No","Yes","No","3",1,"FieldSeason2016-18.csv","226",2,78,"",""
"160","Enge","05/10/2017","07:11:00","control","No","No","No","0.9",1,"FieldSeason2016-18.csv","191",2,79,"",""
"161","Pann","02/08/2017","08:10:00","control","No","No","No","01-Apr",1,"FieldSeason2016-18.csv","103",2,80,"",""
"162","Gese","30/10/2017","05:13:00","control","No","No","No","3",2,"FieldSeason2016-18.csv","210",2,81,"",""
"163","Ouli","06/12/2017","04:51:00","control","No","yes","No","1",1,"FieldSeason2016-18.csv","292",3,1,"?",""
"164","Xian","16/09/2017","07:57:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","169",3,2,"?","low volume and dirty, maybe to discard?"
"165","Numb","18/11/2017","05:06:00","control","No","No","No","6",2,"FieldSeason2016-18.csv","252",3,3,"",""
"166","Unw","10/11/2017","05:15:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","233",3,4,"",""
"167","Gene","28/08/2017","06:49:00","control","No","No","No","0.3",1,"FieldSeason2016-18.csv","140",3,5,"yes",""
"168","Vin","12/12/2017","06:54:00","control","No","No","No","01-May",1,"FieldSeason2016-18.csv","310",3,6,"",""
"169","Ubu","18/11/2017","05:46:00","grooming","Yes","No","No","04-Feb",2,"FieldSeason2016-18.csv","255",3,7,"",""
"170","Vin","29/12/2017","09:14:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","314",3,8,"",""
"171","Bas","27/11/2017","06:45:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","269",3,9,"",""
"172","Nkos","07/11/2018","07:05:00","control","No","No","No","0.4",1,"AKnursing2018.csv","449",3,10,"",""
"173","Ginq","23/11/2018","05:22:00","nursing","No","Yes","No","0.35",1,"AKnursing2018.csv","485",3,11,"",""
"174","Gubh","18/12/2018","08:08:00","nursing","No","Yes","No","0.4",1,"AKnursing2018.csv","536",3,12,"",""
"175","Nkos","13/11/2018","07:42:00","Control","no","no","No","0.6",1,"AKnursing2018.csv","458",3,13,"",""
"176","Ati","11/12/2018","07:46:00","control","No",NA,"No","0.5",1,"AKcontrol2018.csv","10",3,14,"",""
"177","Ghid","13/12/2018","07:00:00","nursing","No","Yes","No","0.3",1,"AKnursing2018.csv","528",3,15,"",""
"178","Ghid","16/11/2018","05:02:00","control","No","No","No","0.4",1,"AKnursing2018.csv","471",3,16,"",""
"179","Ghid","10/12/2018","11:56:00","nursing","No","Yes","No","0.4",NA,"AKnursing2018.csv","525",3,17,"",""
"180","Nyan","21/12/2018","08:43:00","control","No","No","No","0.9",1,"AKcontrol2018.csv","12",3,18,"",""
"181","Ginq","28/11/2018","05:18:00","nursing","No","Yes","No","03-Jan",2,"AKnursing2018.csv","502",3,19,"",""
"182","Potj","17/01/2018","13:41:00","control","No","No","No","01-May",1,"FieldSeason2016-18.csv","320",3,20,"",""
"183","Ati","17/12/2018","05:58:00","control","No",NA,"No","1",1,"AKcontrol2018.csv","11",3,21,"",""
"184","Ghid","04/12/2018","09:00:00","nursing","No","Yes","No","0.5",1,"AKnursing2018.csv","518",3,22,"",""
"185","Ghid","14/12/2018","08:19:00","nursing","No","Yes","No","0.8",1,"AKnursing2018.csv","531",3,23,"",""
"186","Ghid","01/12/2018","05:40:00","nursing","No","Yes","No","01-Feb",1,"AKnursing2018.csv","510",3,24,"",""
"187","Ati","24/12/2018","10:14:00","control","No",NA,"No","0.5",1,"AKcontrol2018.csv","14",3,25,"",""
"188","Hwa","06/11/2017","06:53:00","control","No","No","No","01-Feb",1,"FieldSeason2016-18.csv","220",3,26,"",""
"189","Unw","18/11/2017","05:38:00","control","No","No","No","01-Feb",1,"FieldSeason2016-18.csv","254",3,27,"",""
"190","Ghid","19/11/2018","06:28:00","nursing","No","Yes","No","01-Apr",1,"AKnursing2018.csv","477",3,28,"",""
"191","Ouli","14/10/2017","08:34:00","grooming","Yes","No","No","3",1,"FieldSeason2016-18.csv","205",3,29,"",""
"192","Mamo","12/09/2018","07:52:00","control","No","No","No","01-Jan",1,"AKcontrol2018.csv","7",3,30,"",""
"193","Nyan","06/12/2018","11:26:00","control","No","No","No","Jan-95",1,"AKcontrol2018.csv","9",3,31,"",""
"194","Gubh","26/11/2018","12:10:00","nursing","No","Yes","No","06-Jun",2,"AKnursing2018.csv","497",3,32,"",""
"195","Hipp","07/09/2017","06:17:00","grooming","Yes","No","No","6",2,"FieldSeason2016-18.csv","153",3,33,"",""
"196","Pann","19/11/2016","11:40:00","grooming","Yes","No","No","0.7",1,"FieldSeason2016-18.csv","27",3,34,"",""
"197","LBlind","09/09/2017","06:35:00","grooming","Yes","No","No","6",2,"FieldSeason2016-18.csv","162",3,35,"",""
"198","Pal","02/09/2017","06:48:00","grooming","Yes","No","No","6",2,"FieldSeason2016-18.csv","145",3,36,"",""
"199","Hipp","19/11/2016","10:31:00","grooming","Yes","No","No","02-Jan",1,"FieldSeason2016-18.csv","26",3,37,"",""
"200","Enge","24/11/2016","12:00:00","control","No","No","No","3",1,"FieldSeason2016-18.csv","36",3,38,"",""
"201","Hipp","07/08/2017","06:41:00","grooming","Yes","No","No","01-Sep",1,"FieldSeason2016-18.csv","109",3,39,"",""
"202","Upps","25/09/2017","06:34:00","grooming","Yes","No","No","01-Apr",1,"FieldSeason2016-18.csv","179",3,40,"",""
"203","Mad","15/12/2016","08:27:00","grooming","Yes","No","No","02-Aug",1,"FieldSeason2016-18.csv","60",3,41,"",""
"204","Neu","28/11/2016","13:00:00","control","No","No","No","0.9",1,"FieldSeason2016-18.csv","40",3,42,"",""
"205","Neu","24/11/2016","10:30:00","grooming","Yes","No","No","3",1,"FieldSeason2016-18.csv","34",3,43,"",""
"206","Pann","26/11/2016","08:40:00","grooming","Yes","No","No","3",1,"FieldSeason2016-18.csv","39",3,44,"yes","tube confusing: grooming eina and oortj that's clear"
"207","Heer","02/09/2017","07:08:00","grooming","Yes","No","No","1",1,"FieldSeason2016-18.csv","147",3,45,"",""
"208","Hwa","25/11/2016","15:20:00","control","No","No","No","0.8",1,"FieldSeason2016-18.csv","38",3,46,"",""
"209","Neu","10/12/2016","06:32:00","control","No","No","No","01-Jun",1,"FieldSeason2016-18.csv","55",3,47,"",""
"210","Miel","03/12/2016","08:25:00","grooming","Yes","No","No","1",1,"FieldSeason2016-18.csv","47",3,48,"",""
"211","Miel","29/11/2016","15:55:00","control","No","No","No","0.2",1,"FieldSeason2016-18.csv","43",3,50,"",""
"212","Hwa","10/11/2016","15:40:00","grooming","Yes","No","No","1",1,"FieldSeason2016-18.csv","23",3,51,"?","check if enough vol"
"213","Numb","07/02/2017","06:40:00","control","No","No","No","0.5",1,"FieldSeason2016-18.csv","73",3,52,"",""
"214","Numb","10/11/2018","09:11:00","gr & nursing","Yes","Yes","No","9",3,"FieldSeason2018_nursing.csv","456",3,53,"",""
"215","Nooi","21/12/2018","05:07:00","nursing","No","Yes","No","3",1,"FieldSeason2018_nursing.csv","544",3,54,"",""
"216","Aapi","28/11/2018","10:45:00","nursing","No","Yes","No","9",3,"FieldSeason2018_nursing.csv","505",3,55,"",""
"217","Nooi","05/12/2018","09:19:00","nursing","No","Yes","No","3",1,"FieldSeason2018_nursing.csv","522",3,56,"",""
"218","Hipp","06/11/2018","07:58:00","nursing","No","Yes","No","02-Aug",1,"FieldSeason2018_nursing.csv","447",3,57,"",""
"219","Hipp","01/12/2018","06:35:00","nursing & social","No","Yes","No","04-May",2,"FieldSeason2018_nursing.csv","511",3,58,"",""
"220","Aapi","28/11/2018","06:03:00","nursing","No","Yes","No","9",3,"FieldSeason2018_nursing.csv","503",3,59,"",""
"221","Siel","19/12/2018","09:59:00","nursing","No","Yes","No","6",2,"FieldSeason2018_nursing.csv","542",3,60,"",""
"222","Aapi","30/11/2018","05:32:00","nursing","No","Yes","No","3",1,"FieldSeason2018_nursing.csv","508",3,61,"","some poop fell in the sampel, thus it's dirty!!"
"223","Miel","08/11/2018","13:00:00","nursing","No","Yes","No","07-May",3,"FieldSeason2018_nursing.csv","450",3,62,"",""
